companyeconomicsector_1,companyeconomicsector_2
832,833
925,926
1167,1168
2133,534
2787,833
3328,1286
1944,3762
4276,1286
4355,4134
4685,4471
4397,833
6143,6144
4,534
7197,833
4105,534
7280,1286
1761,4471
7990,1286
4680,926
8392,8393
8421,8422
8584,8585
8644,8645
1657,8686
9045,1286
9001,9298
9300,4134
1835,1286
9714,926
9966,833
6433,534
10397,1286
10422,534
10465,1286
10681,10682
11098,833
11318,11319
7422,4471
12040,12041
12126,7308
11430,5051
12489,573
12637,12041
12667,12668
12790,7308
13262,833
13344,833
13358,1286
3572,534
13536,7308
554,13685
11124,1286
13836,7308
13877,833
13919,1286
14244,14245
3344,534
14716,833
10297,926
10935,833
7037,15343
15981,534
16118,1286
11041,1286
16648,534
16656,1286
16665,833
14423,7308
16917,7308
2772,9600
10519,7308
5480,17397
12460,1423
17747,534
9601,9600
18234,833
18375,18376
18451,4134
8736,534
18656,833
4749,5293
18110,534
19340,833
19354,5829
19424,534
20085,833
20102,833
13952,3762
20272,370
20320,1286
95,9600
2772,6144
21033,833
19133,19132
7012,1286
21524,1286
1523,1286
22395,534
3083,7308
22533,5056
23240,23241
3168,23319
7470,534
9175,14245
21359,23731
23743,13834
11041,4125
23996,1286
5763,21252
5144,534
813,24211
24546,833
24707,23731
7738,4471
25019,833
1424,5829
4947,5829
19354,7308
9264,534
5023,9600
25249,534
21253,21252
25851,11134
10681,1286
26231,534
95,26287
4030,534
26806,7139
3430,26969
13457,534
27392,5051
17295,1286
27654,7139
27784,8393
27833,12041
7627,8686
2772,7308
5763,3762
2669,534
23250,1423
29062,833
4830,534
29423,7308
29483,1286
6758,534
698,29549
29730,1286
29756,1286
17182,7308
29804,14449
30432,534
30443,1286
30571,11319
8565,7308
2659,534
7900,534
11079,534
13536,534
6758,1286
29696,7308
31646,31647
32044,8393
17401,4134
7040,1286
32511,534
32657,833
15083,833
33124,534
340,534
33382,833
33481,534
14450,14449
33785,1286
34206,833
34318,534
34724,833
34783,370
756,6144
30186,534
8703,534
35232,1286
9582,534
7133,6937
34379,7308
36464,4471
36528,1286
354,1286
36928,11319
35637,534
37079,21252
2543,1286
5348,833
28366,23241
17826,5051
2241,1286
37530,7139
37536,1286
4319,1286
37764,37765
14122,15343
37898,1286
7756,29549
38393,534
38531,833
38538,1423
6263,534
38887,1286
1,1286
5530,23399
2133,7308
18759,9600
39261,28888
39290,23241
12637,14449
9175,8393
775,534
19192,6144
38206,833
626,1286
1978,37765
2859,14683
40802,833
40875,8393
40157,534
698,8686
4809,7139
4680,41058
41116,1286
41215,5293
41516,7308
2842,5293
24162,534
41722,1286
41960,1286
42061,534
752,8686
28203,37765
42540,833
42631,1286
8077,833
42950,573
27070,833
14025,4471
13506,534
32875,4029
1781,1286
43280,1286
43297,833
37079,3762
4838,8393
42559,926
1978,8393
13557,1286
13736,534
12323,14449
5530,13834
1216,534
43924,4471
43956,534
1369,534
20991,833
4126,4125
44331,7308
27640,33371
13782,4471
40156,1286
27833,44596
44651,15343
44655,17141
31582,1286
13795,1286
35830,7139
2664,7308
1189,833
24162,7308
45347,17141
4642,3762
39950,1286
12040,45629
4577,9298
44507,833
6758,7308
35460,1286
45874,833
4680,2529
7037,534
46016,7308
3955,534
15359,370
26967,1286
46390,534
46549,46550
205,5056
23721,1286
17116,8393
46696,4471
10681,46775
7829,534
910,8686
21883,833
14205,8393
7133,2790
47286,23319
21010,7308
557,534
47611,45629
32452,1286
47662,833
47754,1286
29225,19132
4838,1423
47854,7308
7176,15343
35587,534
41083,534
10092,833
4749,2529
33372,33371
36386,46550
48528,833
48554,534
42900,9298
48582,23731
2842,926
48688,37765
48737,3762
7896,1286
46897,4134
4355,24211
11086,4134
1781,46775
4654,1423
49091,7308
34318,7308
11054,534
14205,4134
925,833
33375,534
49365,833
4642,1286
10230,4471
14749,1286
49441,833
49599,9298
40373,6144
48629,833
49942,8428
49478,833
50261,1286
7483,7308
30174,534
50365,7308
14244,8393
11201,7308
50443,833
6215,8686
35587,7308
1944,1286
9714,1286
50912,1286
50938,33371
49241,534
5952,5051
51164,833
14641,7308
37514,370
5023,534
12925,7139
11741,7308
22122,4125
51620,4471
51639,833
32371,4134
50107,833
51760,1286
28366,4125
4026,534
27126,15343
24586,4471
52032,12041
47200,534
10008,1286
544,534
3051,28888
2659,5051
1699,534
50271,52551
6977,534
52701,534
10297,833
13248,534
52846,37765
22122,23241
53044,833
53134,4471
35668,534
53284,1286
37002,4134
53310,12041
48772,1286
53572,833
33133,534
11041,11040
42098,534
42475,534
9913,4134
53776,926
1699,15343
15577,3762
28366,53846
427,7308
7060,14683
54061,833
1583,833
54271,12041
2791,2790
5253,12041
53024,534
54527,54528
32688,1286
21187,534
40108,8645
54906,1286
5253,534
7522,7308
37505,534
55180,7308
55302,1286
1369,8393
20661,926
38513,573
55687,1286
20661,1286
53285,1286
56191,573
14998,7308
56209,56210
33890,5051
2241,3762
56409,833
56445,1286
6635,1286
31307,6144
18515,6144
56296,7308
11469,5051
19354,534
7900,1423
3051,5293
29802,1286
43229,534
398,56997
28287,534
13969,833
57198,1286
43122,5051
56278,1286
22043,534
572,534
40378,14449
32693,833
57307,7308
7140,7139
56773,534
40868,7308
13836,534
2917,534
2459,534
53804,7308
340,7308
8345,534
2498,7308
57774,1286
23733,11319
57957,1286
21772,4134
25561,4134
12383,28888
26621,833
58313,1286
8948,23319
4680,58314
5023,7308
6263,15343
12323,12322
11267,1286
6723,1286
20335,1286
15539,5051
40595,534
47611,12041
14966,534
53928,1286
11469,4134
32106,5293
2659,6937
11726,11725
59525,833
59570,47781
39290,59586
5763,1286
45513,534
59861,1423
33124,7308
60064,1286
15328,4134
17182,534
25851,25005
28982,534
3702,3762
6263,5051
60385,1286
4498,4134
60416,833
424,4134
6612,534
35648,534
4445,534
10681,21252
4809,4471
60625,1286
58498,14449
60704,2790
56296,534
60857,7139
60858,11319
61109,11319
61159,5056
55180,534
43222,1286
39910,8686
3051,926
53122,833
28313,1286
61345,534
61378,1286
680,534
55834,534
2917,7308
29364,534
13245,5051
61109,1168
15981,7308
17205,1286
7658,534
58320,58319
31281,1286
61838,33371
61872,833
9913,5051
9045,3762
48610,4125
62277,8422
59139,534
1978,14683
4105,9600
9524,1286
15644,1286
62497,1286
19177,7308
62505,1286
62507,534
52589,1423
22552,1286
18080,4471
13597,926
19301,534
813,4134
12626,534
1189,5293
63146,573
52277,833
51248,4471
850,1286
50365,534
11467,6144
55,1286
554,8686
63588,39735
63651,1286
63669,9600
63700,2790
34189,5056
7060,1423
9252,7308
21359,833
53328,63855
63921,1168
18238,8393
4749,58314
63986,12041
64122,5056
2659,64149
4105,6144
49441,23731
44469,1286
25006,25005
4680,28888
572,7308
16524,534
48466,573
21253,25005
12323,12041
13457,7308
13705,534
58498,12322
64715,18376
883,1286
2,8686
3344,6144
18646,1286
45866,1286
56305,5051
27980,25005
17771,534
4193,27554
51760,3762
17199,833
9838,8428
5763,38685
65172,5051
4749,28888
37773,4134
1189,926
30188,534
53608,33371
15179,4471
6762,1286
65469,25005
61649,370
29562,833
65559,5056
24263,534
31528,7308
26559,8393
5763,38172
45874,926
9714,11319
1424,7308
5253,25005
1847,573
34846,7308
57792,25005
66029,4471
27045,1286
4114,37765
63413,534
7280,2529
554,29549
59506,5829
50271,1286
64152,1286
59604,59603
66379,833
14071,534
2245,7308
34760,12041
43300,833
42058,534
37079,66625
50313,1286
8867,833
850,3762
41215,833
55308,55307
20864,18376
9529,534
19856,534
15577,1286
14537,1423
51392,573
8072,1286
31801,1286
24199,5051
33638,1286
44914,8393
64545,534
179,7308
67112,370
47082,534
67208,1286
62597,8393
24101,833
50739,2790
59627,7308
55212,7308
56087,7308
32232,23399
3670,534
13644,7308
3670,7308
67388,7308
22224,6144
52885,5056
66995,7308
4749,67501
1071,1423
498,67508
44822,534
11041,28923
39469,573
63139,1286
3381,29549
4,7308
66412,3762
32021,4471
67655,1286
35120,1286
45932,4134
6059,534
67814,23731
67822,5056
29651,926
18400,7308
42002,18376
67959,23319
51679,534
15655,833
20042,534
22225,1423
29651,1286
6893,1423
2304,1286
39290,28923
8167,534
6533,534
11041,23241
68466,1286
36549,534
3381,8686
36219,833
13835,13834
5253,1423
13644,534
62448,534
33001,9298
8023,534
17688,14245
67643,534
5268,68906
12686,37765
57124,1286
7177,5051
47854,534
18451,24211
17688,8393
4358,534
69369,833
17199,28888
47460,1423
371,370
65807,18376
68957,8686
13597,833
32362,833
4472,4471
43216,370
35609,1423
69692,4134
53144,23731
69703,11319
17592,833
5727,534
69742,1286
19145,1286
18372,29549
3039,7308
9855,534
67742,1286
38327,8393
4947,4471
3152,534
2405,7308
63130,534
34368,833
29095,4134
33796,833
2521,39735
65319,5051
10681,3762
9090,4134
17771,7308
10578,833
27779,534
5253,8393
12489,7139
9501,14245
70251,8422
60677,60676
6612,7308
20042,7308
32603,1286
12383,926
18241,4471
37079,38172
6789,833
65733,833
7133,23957
30767,7308
47460,14683
36645,15343
42740,7308
37788,534
14200,1286
67794,4125
8703,7308
70583,1286
18715,9600
1883,8686
18218,67443
54858,17141
63836,534
30174,4134
883,3762
62360,534
1631,1286
70785,1286
25368,534
8345,7308
36200,11319
42671,12041
8417,39735
70953,14449
42790,1423
18861,4134
58614,4134
8113,5051
617,1286
23192,1423
34760,14449
6558,833
9175,31647
48289,534
16097,47781
57099,926
3082,534
67607,534
51726,1286
71248,2790
15045,534
26532,7308
40378,12322
4680,60431
22122,1286
6533,7308
8417,56997
59121,25005
52277,28888
11726,833
1287,1286
29651,68167
41117,534
71372,833
10542,14683
31313,534
27833,14449
37079,11319
28576,2790
29698,15343
71819,23731
60634,926
68101,833
43376,534
21590,4471
4749,833
42907,534
39290,1286
25239,534
72071,833
42907,7308
617,3762
30484,1286
56389,1286
14888,7139
72181,5829
57452,833
71973,2790
42559,1286
30186,7308
43745,1286
20043,534
1424,534
2787,926
71021,833
3051,833
1326,833
34846,534
66412,1286
13607,1286
41988,7308
13506,6144
21302,534
72476,534
72509,4471
6888,4134
4680,833
6893,8393
2405,534
52806,9298
29917,534
6342,9600
17921,39735
28203,72679
1369,14245
2664,534
1189,2529
14641,534
66925,534
72788,4471
9756,833
47301,833
11995,23731
21903,534
498,8393
13952,1286
15045,7308
18166,1286
37885,534
72964,833
5693,1423
42914,1286
42671,14449
73096,47781
48737,1286
34599,1423
9712,833
42671,12322
10064,1286
65949,833
842,833
73143,1423
4105,7308
13267,5051
58455,833
49327,370
73195,1286
54776,833
4224,7308
12785,7308
4838,14245
73293,1286
73310,1286
65937,33371
53849,9298
7133,64149
73363,1286
44379,534
40694,1286
3702,1286
6558,23731
9808,1423
11430,534
1391,9600
17899,6144
71649,833
62168,534
498,4134
68668,2790
30125,833
18432,926
53964,833
45513,7308
544,7308
70638,1286
73840,25005
4838,534
15012,7139
33214,534
58383,5051
61345,7308
7335,534
6723,3762
73916,1286
2934,9298
26723,534
40378,44596
43745,43744
73670,14449
58354,534
44790,534
49990,534
67987,12041
25249,6144
756,534
15861,1286
143,534
9264,7308
53945,833
72180,7308
18783,4134
74163,18376
66509,14449
73920,23731
35648,370
45874,5293
21285,8686
14244,1423
1657,13685
69429,37765
44173,1286
73670,12041
9538,5051
16230,534
