companyalsoknownas_1,companyalsoknownas_2
5943,5944
6402,6403
4445,8766
11469,11470
11590,11591
12552,11817
7900,1369
14603,14604
14423,11741
15921,15922
2521,5724
3551,3552
19530,1856
11368,20409
20884,20885
4947,17508
2659,23067
13597,23719
19301,26113
698,293
27417,15919
3134,27951
3552,3551
5035,5034
19160,31638
35426,29651
35692,35693
36276,36277
6403,36277
38020,38021
4577,6221
34390,38542
18620,18619
40089,38887
14456,6221
19057,19056
35759,10225
6494,32496
293,698
5453,5452
36342,36341
7177,17384
16787,43895
7012,20065
1856,19530
47103,36276
24586,47427
2917,12790
2659,3310
14247,8023
18586,38782
5530,52053
30174,13937
47427,53642
20065,7012
54373,37009
11817,12552
3228,1369
26536,56235
14205,56555
20324,32021
5693,50039
56898,2436
16098,16097
10225,35759
37465,36341
4193,57994
6221,14456
41127,41126
4703,11470
5047,5048
8226,18241
4232,5724
45113,49387
5253,9402
6402,14537
44990,7199
19247,19246
63827,63828
23250,34599
64344,10474
28598,28597
24726,64805
31295,31294
25476,65652
51726,65948
4193,4192
15620,15619
29085,29084
9402,5253
16097,54925
16097,16098
29651,63026
1369,3228
14641,38766
42873,42872
3052,31638
6143,16139
59273,59272
27591,4276
19301,19302
67492,67491
59272,60760
19681,44862
63026,29651
8795,8794
14537,6402
11045,11044
73692,73693
15179,47427
6724,6723
58985,58984
4192,4193
15224,17535
14513,5452
36386,36385
20084,20083
64350,64349
15922,27126
14641,71588
75164,75165
60142,73355
47538,47537
34325,69395
8392,47103
5627,47859
1978,15919
21017,21016
11667,11470
26471,55550
15299,75435
50411,60468
29651,35426
8971,71567
66324,66323
55550,26471
5944,5943
