bankboughtbank_inv_1,bankboughtbank_inv_2
4584,138
699,138
15412,138
16915,138
17592,138
20987,138
8304,138
31287,138
31411,138
33494,138
33835,4690
19451,138
9841,138
24300,138
37450,138
9949,138
37113,138
38929,138
39433,39434
8303,138
39662,138
11447,138
40729,138
41455,138
41807,138
42116,138
42916,138
6789,138
44172,44173
4429,138
10222,138
5370,44559
45890,138
31664,138
52724,138
20806,138
10023,138
56974,56975
57128,10578
57194,138
56585,138
40509,138
51629,138
902,138
44239,138
59544,138
59732,138
20729,138
52562,138
9749,138
16889,138
62307,138
1583,5047
47943,138
43104,138
38979,138
44507,64091
21801,138
64430,64431
20661,138
40382,138
57120,138
34724,20661
44432,138
32805,138
42836,138
25291,138
49024,138
33809,138
69801,138
70853,138
50300,138
15226,2787
45209,138
50291,138
66663,138
51041,44559
40067,40725
46525,138
48852,138
23039,138
55439,138
53115,138
2787,138
33832,138
20448,138
1189,44559
842,138
36879,138
15745,138
39885,138
39329,138
74873,138
44073,138
56841,138
7733,138
59472,138
4931,138
58149,138
17199,21883
15035,138
15082,13597
24744,138
5475,138
10800,138
47837,138
31387,138
46437,13597
48252,138
75344,5370
2960,138
36699,138
48371,138
