animaleatfood_1,animaleatfood_2
222,223
200,922
200,2057
2386,2387
2469,2470
824,3243
784,701
222,3839
200,1353
2386,3971
107,4673
4694,4695
200,4701
200,4945
5482,5483
200,6587
107,7326
200,7551
1354,8089
200,8235
200,8341
200,8646
200,8771
8871,3996
200,9886
200,10131
10823,10824
107,2582
6127,7727
11381,11382
3277,11962
200,12087
12944,8622
200,13435
13503,11382
200,13973
14794,11382
1471,2387
784,840
200,16874
12831,4407
107,18178
3730,9787
222,701
200,21398
2900,21660
200,21870
200,22207
200,22247
1217,22276
20564,12800
12831,7727
200,23660
1471,23848
11612,16077
200,24021
3730,7727
200,24644
6127,3303
200,24783
200,25288
789,14041
24160,25547
200,2582
200,26091
107,26855
200,27763
14227,27862
200,27937
107,28295
9850,7727
200,28428
200,16981
200,11635
1069,3243
200,1407
200,29632
200,29693
222,4139
200,29821
2469,30075
30339,12733
200,31022
3277,32667
3277,3292
3277,2769
200,12976
200,32685
3277,35012
222,35450
5561,17296
200,1636
200,35902
200,21443
200,35974
200,35979
200,36096
9350,7727
200,36169
6810,36332
200,36337
824,36670
200,36791
200,37019
3131,13546
200,37229
200,37506
222,6699
200,37791
200,38265
1471,3971
10918,10824
200,39116
222,39170
200,16777
200,38523
25199,39347
2469,40654
19196,13546
996,7727
107,3243
200,41013
200,41273
200,41634
4694,3243
5841,7727
200,42029
200,33294
200,19677
200,38509
7802,42492
200,42654
9229,8622
200,43117
1612,1353
43611,26264
200,43779
41121,43875
200,43729
9135,35483
200,14813
3277,21870
1471,3872
200,22290
200,44613
44616,7727
886,7306
200,33964
27,32518
200,14131
200,45774
200,45896
200,46081
200,46157
200,8622
12734,12733
200,46375
3277,15598
200,46518
200,42378
3696,4139
784,15990
200,46792
200,47395
200,47406
47673,41273
3277,47717
200,26264
200,540
1471,47999
200,27232
107,35466
200,48764
11815,139
1040,42435
7802,1353
200,49621
20564,2693
16019,2423
107,12502
2469,50014
6864,3303
17904,48420
200,34630
200,45197
3730,50817
1471,50875
200,41346
200,51097
5427,51343
200,51377
3277,3291
200,13198
9850,11382
200,52092
52364,2387
200,52409
200,52605
12271,52748
107,46745
200,52961
200,53004
200,40649
200,53329
29637,9958
38120,52762
107,53602
605,3243
3730,6337
22376,20691
107,39629
6429,54558
7885,12828
9350,54764
200,15602
200,55001
222,55059
200,5488
200,41786
107,55340
5427,1636
1217,34863
200,51343
2677,55823
29637,7727
25199,15598
200,56156
200,40084
22376,16077
200,54249
107,6267
3277,13205
200,13858
48922,12733
824,56774
200,19115
200,57282
107,45559
200,28803
38017,13546
200,57572
2362,50817
3730,263
200,57983
200,33409
200,10612
5427,24489
3277,4260
200,54559
1976,50463
107,52512
386,3303
1471,59072
200,59096
200,59112
1354,59330
200,59407
59478,48165
17718,1013
1354,20060
107,59947
200,59959
2469,51191
11907,3303
200,54572
2900,15618
1217,17296
200,34084
200,60552
200,60600
200,60874
200,44499
200,13974
200,61326
200,61539
200,40629
200,61573
200,52415
61691,16077
200,49595
200,42435
784,6699
6810,33622
107,25097
19066,48165
200,9879
200,62138
6810,15618
200,11161
200,40762
3277,62355
200,29919
200,57417
200,62212
62538,11382
200,62754
200,62817
200,27384
784,33659
27,7727
200,16547
200,63429
41121,63447
200,63051
107,63564
200,9134
784,41850
107,63666
2469,63738
1358,7727
107,63957
3696,62509
2916,61977
789,50404
200,139
107,139
200,13217
3277,3150
200,16808
18653,4188
1471,1353
2469,7710
65019,9958
200,65056
33052,4188
605,20691
200,58058
3277,9515
606,23401
2386,9958
200,57881
200,65719
200,65742
200,46765
30121,2582
789,20691
200,13524
2469,58668
107,66185
66204,4188
200,36232
1471,2604
784,57493
200,60379
200,66486
576,66664
781,27630
200,27852
107,42139
200,66797
200,66838
605,16077
200,18944
200,15598
2900,19501
107,32783
7802,50875
33501,67383
200,2381
3277,25660
4613,3303
200,67609
200,67716
27698,15598
200,67878
5427,49785
107,68009
107,68085
200,54172
200,37776
2386,9211
200,12771
200,8086
200,49945
200,68512
11381,8622
17197,17196
3277,50561
200,49629
200,68099
200,68978
222,3303
200,27504
222,69097
200,46504
200,66912
6864,4139
200,16496
1041,15598
