has_part_1,has_part_2
37031,38936
13044,28858
39926,39301
7041,10149
36828,37039
6077,23648
39919,39529
36974,40712
14497,207
36975,40679
39157,38579
37020,39261
39209,36939
32369,36014
4098,11284
12235,12988
37011,39544
28718,26309
36974,40695
7982,5575
22596,35861
36828,37027
12335,18090
39382,39774
39157,38561
20373,14666
10935,28720
29710,3771
36968,40921
11067,16448
2479,28720
3496,21768
22871,19166
34191,28708
40484,38430
36828,37078
25919,39364
30005,35577
36991,40220
38301,40569
36829,37049
1690,28618
4724,99
36993,40129
12946,7363
36828,37062
25734,28732
2874,32886
36828,37064
10176,27716
20105,14835
25734,4180
8791,21494
40742,38651
37020,39343
2201,20990
34204,28340
36992,40218
36975,40742
40423,40357
36992,40219
37032,38951
35741,21631
40944,40559
12059,26700
36993,40170
2933,14703
38583,40035
1282,24927
37017,39467
37038,38819
40147,40744
26266,12285
13056,12205
38915,37981
37017,39472
27934,34308
660,19648
40206,38923
36991,40256
22596,35966
37032,38984
30832,18220
23430,10113
37009,39701
40692,40215
18555,21965
2593,8893
39209,37046
2593,33472
36991,40307
38416,12521
39143,39136
8907,34359
37039,38829
33455,18860
11638,23423
32012,30826
37017,39483
27873,3483
25919,39480
40684,40496
32442,9297
36980,40637
982,9711
39624,40592
37003,39923
40476,38755
29447,3832
39902,40171
40202,39063
40529,20771
9681,2197
36832,37076
37009,39781
37017,39542
1297,8157
2190,5056
39157,38715
23050,5575
11272,10233
17440,23838
36828,28996
36828,28997
390,11713
33814,15938
39634,40319
39581,17426
38952,36925
37009,39813
37000,40095
36574,28729
36203,32041
40479,38747
36992,40319
32781,31599
19621,29985
25171,29964
37020,39462
38568,40629
14717,26356
6298,25211
36974,40928
37017,39598
25842,17372
37009,39851
19812,7683
38583,40209
40731,39154
13066,3827
14841,14350
40484,38596
38583,40188
5707,2592
18860,20842
38881,39147
39115,40085
10234,9720
28669,36241
27421,9389
32482,40945
23228,32902
37017,39626
40202,39193
40484,38647
18067,4467
26556,19840
12556,19672
7563,27001
28659,11992
36984,40662
32482,40929
7075,17556
40484,38629
20200,36674
36991,40420
26714,31345
39949,38834
34734,20276
12946,23970
38835,40607
38881,39180
26585,2593
39919,39810
18541,30778
38629,38846
40484,38684
37021,39546
17831,20012
1317,15860
36991,40446
22349,19236
37056,38431
40692,40409
