instance_hypernym_1,instance_hypernym_2
40152,15913
40508,4882
39888,15913
39007,2267
39105,7393
39172,5320
40229,5320
39359,15913
40416,15913
39152,5946
36885,10686
38789,33586
38659,4882
40038,3094
40509,4882
39373,31905
40070,26663
40118,8796
40522,4464
39360,15913
38666,4660
36844,11990
40417,15913
39488,11948
40399,129
38548,24742
38584,15434
38646,5320
39298,9687
40620,1474
40165,7393
38839,15731
40089,26132
39559,17968
39361,15913
40418,15913
40295,19769
16070,684
39972,21588
39440,5320
40459,31081
38788,959
40247,4882
38955,3948
39010,10433
39626,15913
38911,5320
40018,36538
40155,15913
37061,5328
39227,11948
38762,26362
40349,18129
40647,698
37072,13230
40685,15913
40233,5320
40420,15913
39474,12470
39210,12470
40353,1649
39893,15913
38434,11990
39192,4882
40021,11948
39629,15913
39037,1474
36937,17426
39100,15913
38940,4488
38806,33254
40250,4882
36851,11948
39002,10807
40174,15434
38573,15913
39757,11948
40276,20439
40006,12470
38878,6478
39935,6478
38587,23695
38685,12470
39631,15913
40688,15913
39252,27666
39585,959
39347,8334
39082,24742
39500,3566
37065,5320
39276,35090
39366,15913
39082,8334
40486,13961
36939,17426
38525,17417
39604,24927
38927,29566
40252,4882
38460,3094
40378,959
40430,15731
38511,1493
40160,15913
38886,6254
39709,5320
39279,2267
38466,2931
40073,2267
39751,20439
37082,4882
40690,15913
38530,959
39084,8334
39479,12470
39677,6339
36921,18046
39710,5320
40590,10807
39058,25536
38877,31189
39244,11620
40427,15913
38508,1671
39369,15913
39973,21768
38676,12829
38509,9813
40437,15621
40614,26518
36955,684
38706,11948
40350,26518
36993,15901
40115,9233
40123,792
40026,11990
39370,15913
39478,20764
40553,20205
38655,5320
38714,36257
39106,15913
39899,15913
40199,31189
38114,30285
39449,5320
38464,3094
39246,11620
39636,15913
40693,15913
39294,26518
39764,11948
39185,5320
39412,6482
39499,11948
40402,24927
39622,8183
39966,30285
39310,1474
40389,792
38818,24927
37083,21367
36932,1474
40557,11948
39537,10807
40733,31081
37197,1474
39248,11620
40431,15913
40166,15913
38581,15901
38594,23695
40530,12829
38693,12470
39639,15913
39642,7625
38513,1671
36948,17426
39707,5622
39942,31081
40633,1474
37387,11990
39968,30285
39640,15913
38694,12470
39327,17426
39152,6478
38495,2267
38809,698
39739,12829
39810,18818
39564,26450
38721,11620
40491,30479
39904,15913
38532,33910
40385,9233
38888,6493
39494,28666
36999,15901
36826,4882
36923,26450
39377,15913
39728,5010
40272,12721
40525,4882
38661,5320
38419,12829
40555,28532
38959,12470
40278,4354
39974,5622
37981,26450
40435,15913
40015,20743
38677,4882
39225,12470
40092,1975
38466,35972
40260,13123
39133,15296
38849,15913
38939,13123
39430,30676
40722,7008
38762,2267
40526,13123
39734,21295
39808,10807
39921,23695
38489,10743
40172,15913
39735,4882
40125,959
39720,5320
38443,20338
38566,8334
38184,11990
36994,16109
39882,24927
36864,11990
38966,4175
38975,3895
37041,31081
40173,15913
38758,18818
39470,21295
39644,15901
39063,33910
39353,24927
38644,5946
39908,15913
38929,13493
38422,12829
40520,13370
40308,28136
37022,23515
38588,15901
