member_meronym_1,member_meronym_2
6973,28637
15453,11521
3056,18996
27374,35190
13261,30316
4105,19245
14678,35553
7114,7895
35219,21393
15170,36681
30399,6972
24944,28620
4723,16489
30673,31241
19923,20419
19957,19364
17902,1151
6141,5300
29698,12308
36573,28554
18753,7560
10039,31933
15934,29417
25522,27099
31258,29506
2538,18708
30757,12264
31444,7351
32692,1429
3076,2034
33696,35890
26891,33848
17540,28815
31742,30917
20619,31660
4595,36891
28975,1999
8480,14761
8824,4109
16951,14322
36330,36141
36925,34080
4595,36902
36826,20771
29241,26564
35493,29372
31258,13182
19528,32746
19445,35318
16659,23403
23751,16544
35809,3173
28508,16534
33863,14349
13261,30443
17201,22981
28865,21843
29143,29609
35781,36853
13197,32434
32753,16026
15090,6514
35781,36861
17644,9261
12413,23977
32753,32427
27003,30426
972,34586
36583,28388
14229,458
12745,13694
22440,24450
5441,10739
18650,27251
34364,15233
7895,209
5143,3601
23140,19125
35870,34088
35781,36846
35781,36848
9884,36866
21498,20898
35781,36886
9884,36872
35475,29996
35781,36896
29747,27314
141,27611
12350,9587
26504,13188
5453,10399
26835,2927
1176,28297
27728,24397
16659,7086
18628,27955
14323,13966
35781,36878
13364,27310
33123,20976
29143,13316
35781,36916
31898,26214
12711,31174
35781,36925
19797,24505
35781,36928
28077,13582
25506,11390
6759,19096
9884,36907
10727,27160
35781,36906
23965,26392
15145,21272
29849,7820
31063,35723
36871,3123
35781,36913
32622,36573
8353,35239
20532,18145
36015,13317
13454,24557
31426,8105
14902,12451
11501,35960
9884,36937
15757,18712
27320,4340
15241,1945
13261,14186
33527,8512
9975,34127
9884,36948
36411,17414
8566,12271
1460,35955
29747,27422
26879,18022
20126,14380
16659,7169
9884,36970
3063,35428
17386,33775
35781,36995
18825,5550
28514,16510
26033,27880
16472,12979
35781,36973
24739,18839
7629,24971
4544,5918
9884,36981
14689,19110
14330,13854
4221,32322
26033,11515
4489,24013
25506,27845
34078,7893
24369,13937
9884,37004
3259,13011
8449,15964
35781,37005
27299,5071
5638,4808
27813,5520
22262,13761
7243,20596
29681,29524
22208,15423
35781,37054
35781,37056
35781,37059
9884,37040
16659,7242
29518,18219
25864,33183
13261,30655
24272,17004
26033,27941
34544,26232
36303,4472
14968,10513
32186,33803
35781,37076
36430,16957
22723,15886
9884,37053
26539,28657
13026,5198
4105,35992
34466,12298
36976,32794
1439,36730
25378,31891
35781,37074
18022,30555
3063,2776
14873,29884
20212,28213
12685,32187
12711,14994
36421,895
20027,17569
3596,19032
15666,5316
29174,28944
3595,2688
31564,20385
21305,27115
25876,32872
34246,2768
26323,19039
12224,13734
26675,24513
1439,20390
22571,4272
28673,28097
20863,24471
3071,18965
9565,30639
29174,28971
7355,856
20636,15120
36449,16430
27853,20792
17337,35493
17310,36330
29152,13290
28380,4443
26278,36866
3292,28525
21039,2662
28508,16890
27947,17891
23558,22884
26278,36861
28949,35983
32269,31365
35010,11912
16487,12697
26278,36853
7065,26262
18271,22933
31949,24893
23669,3070
30017,19276
30123,32375
13516,6512
1848,24156
27466,16436
32138,19057
25554,26550
25712,21652
16259,19784
12745,14046
25266,2734
25266,2735
3259,13197
10892,5948
30017,35675
26278,36896
29174,12651
33431,28127
22843,12300
24746,35230
13261,30825
24804,33427
33023,8017
3631,18061
3644,17655
8286,4832
26278,36906
13011,5825
26941,16351
17087,26917
6648,22858
28667,12023
30629,354
36853,36758
13261,30849
3509,21867
26278,36925
21859,10078
21541,36320
28438,35502
13261,30858
28508,16945
22184,16401
18381,35991
22184,16400
15934,13537
24636,22307
10772,9715
6759,3052
24839,32400
35219,21931
2261,11420
26901,17624
19641,29691
9853,21831
31166,32862
11991,21100
17877,2479
12224,30268
23055,22201
15374,30932
20271,10198
34544,10112
6759,35846
32087,20737
23446,10084
17902,18105
19126,29314
26278,36975
34836,17450
28077,30353
19039,15615
29380,6346
30541,19507
36889,19347
23560,22925
28893,21437
15738,3280
13011,5896
30856,9766
1474,3094
16510,28507
27648,27289
20882,24035
29174,29132
17402,17229
34227,19937
26278,37005
36841,4484
4832,30098
8286,21331
9750,8721
26278,37020
18516,31882
13261,14565
18687,26580
33509,9492
27897,36007
5893,13609
5893,13608
16993,29956
26278,37031
14818,31862
27897,36017
26278,37054
19957,36403
26278,37056
35831,3038
19188,27484
34246,19445
8275,21720
29044,33245
26711,23647
31332,27851
36970,16930
27260,6619
10055,15696
30968,22773
5638,21559
7340,1570
31063,36208
21195,14438
24,15374
22714,107
29368,23212
16454,13945
2301,10331
36140,26299
35837,19310
27734,8349
13261,14650
13261,31043
36205,7887
23071,5462
34310,33866
1514,18370
6759,36001
19692,28283
6759,36004
28424,3354
104,12934
20710,13114
7880,17634
12685,32530
28441,19237
24049,24314
18472,16977
11830,26266
31656,1489
33767,34365
34246,3110
23621,4830
36857,36856
13261,14689
16885,17040
32304,14181
36923,18436
29241,10829
36441,651
25286,18765
30932,23965
6619,7624
17540,29523
34544,10296
15876,31956
35024,28185
21456,6437
6759,19683
26136,8809
34795,35326
17849,19974
17254,5638
6637,23478
25363,32788
13878,28381
28850,23024
13288,13918
23081,5249
35782,4713
11527,19363
21305,27535
27267,22932
23706,35021
13261,14757
25348,529
29475,36428
15615,23711
26178,23938
14818,15659
36953,17623
7362,17427
27363,3617
31831,28947
3259,29931
25449,13793
28499,17542
13261,31187
34876,32882
6759,19755
21538,36750
13011,6175
35147,24461
12475,6414
4105,20130
35837,3077
12248,29845
31812,13173
12224,30586
6835,33812
32187,1572
23582,22571
24625,6621
5704,36108
14229,33973
13349,28485
13261,14840
17973,32599
6718,21068
32757,278
12685,32692
30259,28584
32496,8389
15797,34535
12882,26606
23687,35708
30555,35814
36950,34185
28077,14323
2573,18519
9523,16059
14186,35354
20347,8216
15774,18893
29475,20152
16001,11870
32753,16838
