member_of_domain_usage_1,member_of_domain_usage_2
13274,36063
13274,23771
25187,26187
2283,976
13274,7399
25187,15943
2283,10199
13274,30947
30263,35734
25187,10820
31302,37318
2359,27305
25187,7777
22684,1388
32891,366
13274,25841
2359,8887
25187,18030
25187,25200
25187,9833
30035,27476
32891,18811
7739,31556
25187,28260
30035,36691
2283,33787
26054,37249
32891,16791
30035,23407
2359,35534
2283,9225
25187,27281
2359,35549
13274,12570
30035,20345
30035,18297
2283,40981
7739,26473
25187,17033
25187,9865
32891,7609
25187,21151
2283,40988
13274,33067
25187,20124
25187,34461
32891,34213
22684,28075
32891,2476
26054,38296
32891,24008
30035,30625
25187,29360
31302,560
25187,25259
14605,32780
32891,16833
25187,22182
26912,25027
30035,27540
32891,9659
25187,36516
32891,32217
2283,11323
25187,4795
32891,8659
7739,9106
31302,9781
32891,5578
2283,27723
32891,4584
25187,18127
13274,349
25187,23248
30035,16319
25187,22219
25187,36555
30035,18362
25187,26316
32891,21986
2359,7967
25187,1733
13274,12648
32891,15840
25187,26311
25187,707
2283,31828
32891,2551
2359,32553
25187,10970
32891,33248
30035,25544
30035,3017
25187,22232
25187,29401
25187,36565
25187,18133
32891,4615
25187,19184
32891,4614
25187,751
25187,10989
32891,12800
32891,29203
25187,22248
25187,34537
21048,40990
2283,22649
2283,2169
25187,30437
12286,35110
25187,7935
2359,27465
20161,34712
25187,35578
2359,34639
25187,9974
31302,30330
25187,22265
2359,23379
31302,22134
25187,15093
30035,11235
2359,26454
25187,20241
30035,6140
2359,23387
20161,40877
32891,17953
2359,26462
2359,15207
32380,40985
12286,22865
2359,34665
25187,19233
7739,21483
32891,21042
25187,31511
26912,9781
2359,36720
30035,4103
32891,35367
2283,17574
25187,12052
30035,29699
25187,21294
32380,41002
2359,6006
32891,10822
7739,18433
2359,29562
30035,40986
30035,40984
2283,22707
25187,27431
30035,32791
13274,4545
2359,24457
30035,41004
32891,14932
30035,41005
14246,40981
30035,41001
25187,27448
25187,12082
13274,35283
2359,25491
25187,12083
25187,24372
2283,8392
30035,40995
2359,33687
25187,842
25187,28497
31302,23247
2359,24485
25187,33604
25187,12127
7739,17452
2359,27561
25187,12129
25187,32603
22684,20088
25187,10077
32891,29282
25187,8024
2359,23472
32891,21101
32891,7788
30035,10309
32891,34445
25187,24428
2359,27583
2359,17343
30035,30806
32891,5759
25187,24425
25187,25444
25187,35685
25187,23397
2359,32710
25187,30587
25187,15227
30035,19560
25187,27512
13274,35349
2359,976
25187,8050
7739,24658
32891,23180
25187,18292
13274,23058
2359,10199
2283,22797
30035,7294
25187,22410
25187,34698
32891,11939
32891,31408
2283,32021
15471,40996
2359,31723
30035,35978
30035,32900
30035,20612
2283,25894
25187,11155
30035,11395
25187,34737
2283,36145
25187,942
30035,20635
25187,11181
32891,16063
32891,28373
25187,29603
10787,26489
25187,36801
13274,11851
25187,1984
25187,25531
32891,9940
26912,13018
30035,13480
15471,30796
32891,23247
25187,29618
32891,9931
32891,20201
2359,40987
25187,25546
30035,1210
2359,40989
2283,336
2359,40991
30035,4281
2359,29729
