synset_domain_region_of_1,synset_domain_region_of_2
5976,22684
36898,36923
26724,36899
27645,22684
493,22684
4397,36828
33723,22684
4397,36829
28835,22684
22559,22684
17406,22684
24017,36876
18925,22684
36432,22684
34253,22684
30289,22684
10007,22684
7567,36880
41058,22684
30927,39762
18265,22684
21508,36862
35706,22684
9287,36828
1419,22684
17407,22684
17869,22684
32998,22684
21965,22684
38415,22684
39476,36934
5978,22684
40661,37070
41059,22684
38687,36828
10933,22684
40532,36975
40993,22684
429,22684
1420,22684
24417,36828
37303,38744
16289,36893
33929,36850
38882,36906
40470,36829
13180,22684
39389,39664
3667,22684
41060,22684
1427,36829
33929,36899
39017,36869
36898,37021
36766,22684
27583,22684
26724,22684
29435,36947
24940,22684
20712,22684
25205,22684
38621,36880
12527,36828
41061,22684
40339,36880
1422,22684
39250,37869
18406,36843
17810,36906
7434,22684
25668,22684
40603,36864
28839,22684
14437,22684
41062,22684
31284,22684
40075,36894
21125,16070
7567,22684
40270,37003
6444,22684
26462,22684
3652,39609
26660,22684
38555,36895
8030,22684
33002,22684
38773,40422
40507,37869
32707,40050
38488,36967
33084,16070
41063,22684
40931,22684
15368,36880
33598,22684
38356,36947
8103,36828
33929,36971
6445,22684
13514,22684
12462,36862
6848,36828
40144,36828
25802,22684
32079,22684
28974,22684
40005,37077
33929,22684
39346,37031
41069,36862
41064,22684
5785,22684
40541,36852
40336,37070
38954,36880
38816,37062
39873,37062
5195,36895
2619,36880
26860,22684
20981,22684
27918,22684
40078,36893
30164,22684
41065,22684
3810,36843
39282,37003
33408,36828
18011,36947
8231,22684
12993,36852
8363,22684
33335,22684
23756,22684
21576,22684
40539,36973
41066,22684
40704,40050
40605,36973
18670,22684
32213,22684
34428,40050
20916,37011
13715,22684
25276,22684
39204,39429
33268,37077
17217,22684
9421,22684
23295,22684
17023,36880
41067,22684
31493,36850
36641,22684
39554,36829
27326,22684
13386,22684
11872,36850
34328,22684
19530,22684
36178,22684
18677,36843
3675,22684
41068,22684
2618,22684
8630,22684
39687,36828
33735,22684
26137,22684
33279,36828
39489,36829
35458,36864
10150,22684
39022,36948
31621,22684
22046,36880
39026,36828
36781,36828
40409,37007
32018,22684
25940,22684
39280,28997
39482,37070
22971,36893
11410,36893
14511,22684
30102,22684
15700,22684
40012,37003
22837,36970
26542,36828
23893,22684
39023,39049
116,36828
3347,22684
25148,22684
39688,36869
34397,22684
18146,22684
39087,37038
39553,36934
39828,40701
35124,22684
10753,36828
13059,22684
41070,22684
40145,37057
39105,38583
39815,37053
17552,22684
34471,36828
3816,36843
31828,36828
27858,22684
38764,36869
31095,22684
13522,22684
38501,38881
36314,22684
40157,38717
27396,22684
31558,22684
5859,22684
38594,40076
21516,22684
41071,22684
29775,22684
11415,36828
30705,36859
38777,40590
38560,37077
40674,37077
34598,22684
39757,36839
10292,36828
38660,40128
38893,36972
29794,38493
35258,22684
11079,22684
22046,22684
26340,22684
11872,22684
21517,22684
26406,22684
25215,37077
34539,36828
39817,37053
30965,22684
23962,22684
33276,37077
34471,36899
38634,36869
40543,37054
41007,22684
30834,22684
6456,22684
24822,22684
27068,22684
36384,22684
20793,36991
2629,36880
29314,37053
14455,36874
19808,36828
6919,22684
9099,22684
39488,37028
15838,22684
23303,22684
6957,37897
5664,22684
39358,36969
7580,22684
22709,22684
38868,37869
15508,22684
28917,37077
8774,36880
30307,22684
9781,40484
19809,36828
3683,22684
39620,37070
32553,22684
13989,22684
20199,22684
41009,22684
39097,36939
34606,36893
24494,22684
39099,36880
25683,22684
116,22684
22908,22684
40553,36843
21990,36829
18092,36828
41010,22684
10753,22684
32075,39581
39703,38626
19408,22684
36976,28996
2297,22684
39228,37009
34471,22684
26284,36850
37413,37981
26807,22684
28987,22684
38638,36876
38445,38739
35463,36970
19473,37070
35463,36975
32230,36859
41011,22684
24565,36906
3685,22684
31498,22684
7715,22684
23774,36850
8376,22684
36851,36995
33481,22684
41050,37897
24370,36828
17101,36880
40291,36864
30046,22684
34075,22684
39297,36934
39227,37056
28130,22684
41012,22684
10629,36828
38770,36893
34611,36843
8283,37897
38706,36880
40161,36829
40021,37053
41013,22684
40632,16070
11813,22684
14390,22684
23573,22684
6198,22684
17561,22684
36873,40484
37050,22684
41014,22684
38505,36975
23446,36883
17099,22684
23111,22684
33158,36852
40303,38629
39499,36928
33352,22684
40516,40217
10301,36843
35202,22684
17562,22684
34079,22684
29791,36828
36851,37077
31040,22684
37051,22684
41015,22684
23446,36914
22848,22684
36919,22684
31238,22684
35796,22684
13665,22684
10692,22684
39635,36835
5209,22684
9173,22684
41023,36828
17711,16070
15654,36828
21726,22684
41016,22684
34806,22684
40734,39624
28470,36843
321,22684
14789,22684
38744,39876
6135,22684
3030,22684
24073,40050
36261,22684
40295,36895
39898,36914
40241,40617
6862,22684
17702,36843
40557,36969
14790,22684
23446,36975
24438,36947
23713,36895
33624,36828
26584,40050
21793,22684
5282,36853
23446,36977
41017,22684
21132,22684
15654,36864
39123,40484
23379,22684
5277,22684
28470,36893
17499,22684
39300,37057
26490,36828
39633,36973
41018,22684
12219,36876
25956,22684
39107,36872
27938,22684
16575,22684
33751,22684
3368,36828
6665,22684
23914,36828
27145,22684
31307,22684
9380,36829
27476,22684
21530,22684
36924,37011
40628,36876
8927,16070
18242,16070
41019,22684
39965,36930
4486,22684
9313,36893
20951,16070
39697,37054
21404,36850
40295,36947
35470,22684
21993,37021
25831,36850
39566,37056
8356,37897
16913,36828
26420,22684
36132,22684
18118,40423
17177,36829
21465,22684
41020,22684
23646,22684
12481,22684
35603,22684
435,39762
39633,37059
11034,36829
39044,36888
18763,36843
41022,22684
25436,36828
21024,40484
18500,36828
40165,36934
34811,22684
28472,36947
41021,22684
26157,22684
4026,22684
3101,22684
11095,22684
41057,40050
17437,22684
25069,40050
18362,22684
39204,38114
29659,22684
28306,40050
9384,36828
38725,16070
17046,36880
12747,22684
19552,22684
33689,22684
31714,36828
34680,22684
29924,22684
9312,22684
32901,36880
35407,22684
29794,36975
10904,36828
11034,36893
12153,22684
29594,22684
41024,22684
9219,37869
40895,36895
22464,36893
13409,22684
27883,36828
27217,22684
15259,22684
26424,22684
23319,22684
41025,22684
39577,36852
39972,36895
38652,36829
39251,38739
23326,36828
39948,39664
28803,22684
11034,36950
4095,22684
30303,39664
8593,36843
14071,22684
29134,22684
41026,22684
22395,22684
26425,22684
33500,36852
23326,36829
13543,22684
20612,22684
21279,36828
40647,40555
27945,22684
24910,36899
35344,22684
39179,36920
40048,40701
34287,22684
39708,36942
17873,37981
16069,16070
26228,22684
38494,39762
16252,22684
26360,22684
41027,22684
24444,22684
31778,22684
18239,36893
24050,36973
40632,36955
33297,22684
38653,36874
31184,22684
30396,36869
39909,36895
39181,36934
14471,36975
36008,36970
39044,37070
36008,36975
8593,36937
30927,36829
39779,36852
40110,36829
13749,36852
31383,22684
27754,36880
41029,22684
16326,36843
13480,22684
39580,36866
16321,22684
10390,16070
39177,37070
30855,22684
32969,22684
8593,36970
8593,36980
41028,37077
41036,36828
39780,36852
41030,22684
26165,22684
5755,36895
26099,22684
30927,36852
35811,22684
38723,36864
19493,22684
40235,37070
17709,22684
14208,22684
11235,22684
15992,22684
38587,37003
41031,22684
17710,22684
22202,22684
38850,37053
17374,28996
34495,36893
19034,36947
21476,22684
19560,22684
2846,22684
8131,22684
40736,40050
12888,22684
39054,36893
40507,36906
41032,22684
39711,22684
20089,22684
30269,36828
18242,36955
40507,36896
24851,36876
30927,36934
22400,37077
25771,22684
16390,22684
41033,22684
26305,36869
4565,22684
35682,22684
15538,36828
32378,22684
35549,22684
14409,22684
39533,40499
36210,22684
39840,39175
16727,36843
28416,36975
40307,36991
40507,36973
41034,22684
39726,40701
8927,36991
38719,39157
2518,22684
22409,36843
11569,22684
38662,36829
15868,36862
40576,36864
17373,39382
40709,36843
39718,36843
36409,22684
36343,22684
34229,22684
7011,22684
7077,22684
6024,36895
8537,36828
41035,22684
10515,36947
40575,36948
471,22684
5426,22684
33504,22684
29545,36843
18969,22684
22873,36829
22873,36828
18243,22684
22405,22684
8267,22684
18381,36828
39587,36843
25510,22684
40007,40206
4766,22684
40311,36930
13559,36828
38926,36895
31919,22684
40176,37057
13559,36829
25575,37077
40712,36829
35921,37897
31659,36880
21024,36832
38921,37057
35619,22684
10182,37070
40382,36828
32315,22684
40440,37077
27162,22684
27167,36864
36349,36893
38528,36934
26374,36893
33967,22684
38861,36895
38809,40555
41037,22684
40109,39175
24857,36828
10119,22684
15404,22684
9921,22684
12894,22684
31788,22684
30797,22684
27164,22684
27170,36864
38928,36880
5892,22684
41038,22684
38462,37003
28684,22684
9922,22684
34896,36991
25982,36843
24463,36829
9526,22684
39653,36984
34433,22684
40449,36893
39690,39942
20826,36947
26445,36828
41039,22684
38940,40685
39988,36867
22542,22684
13759,36895
28818,22684
12108,36876
36851,37869
20956,22684
38601,36869
38799,36852
39654,36975
14687,36828
14817,36893
7682,36895
13954,22684
38564,40050
41040,22684
36176,38301
39061,36967
38801,36839
22543,22684
16635,37897
38994,37003
28825,36828
31065,22684
32122,22684
29088,36864
14153,22684
39189,37076
16928,22684
19114,36828
3583,22684
30669,22684
6164,36880
7481,37011
41041,22684
28688,22684
10454,22684
25715,22684
14290,36895
14352,22684
39397,36828
34107,36955
11974,22684
809,22684
7682,36947
38794,37070
41042,22684
39593,36880
40119,36958
1404,22684
21422,22684
28821,22684
6425,22684
29948,36895
39921,39049
3652,36975
40257,36829
4113,22684
7879,22684
39330,36866
39723,36975
41043,22684
8672,22684
19176,22684
14290,36947
9531,22684
30678,36828
25849,22684
1868,22684
41044,22684
27303,22684
36756,36829
19442,22684
30739,22684
32991,36850
24463,22684
35101,36983
14950,22684
24800,36828
698,40555
31438,37897
16205,22684
39788,37077
28361,22684
17196,22684
41045,22684
4380,22684
1942,36828
40917,36947
39863,36852
29822,36828
30146,22684
8939,22684
27305,22684
29687,36906
6693,22684
28362,22684
7420,22684
19312,22684
40566,39664
20637,36895
36291,22684
16537,22684
31996,22684
36092,22684
41047,22684
28165,22684
40285,38114
1745,36843
14688,22684
39328,37070
12710,36895
7553,22684
1211,22684
16274,22684
14692,36899
38841,37869
38870,36973
18454,22684
24538,36828
13830,22684
22947,22684
39269,36869
41046,37077
41048,22684
38476,36880
15085,22684
39001,36995
39171,37869
26184,22684
39468,36852
40156,40141
22353,22684
39595,37054
30480,36977
11849,22684
18786,22684
7885,22684
41049,22684
23146,22684
32263,22684
40988,36874
33720,36899
3327,22684
32133,36948
23350,36864
23350,36862
25327,22684
38477,36930
32133,36975
27639,22684
32991,22684
32066,22684
16415,36828
16415,36829
39795,22684
19117,22684
39069,37003
15026,36874
34253,36829
36493,22684
15754,36850
25398,36893
17406,36829
39085,16070
38605,37070
40375,39545
2668,22684
30480,37070
41051,22684
23547,36947
27839,22684
39438,37869
38458,39581
17407,36829
39139,36907
29160,22684
35639,36864
40064,36907
12380,22684
39273,36896
4849,22684
2669,22684
41052,22684
41056,36895
3528,22684
24074,22684
30086,22684
19978,22684
22092,22684
35839,36843
38874,37003
29294,22684
38944,36880
17937,36829
17937,36828
36231,22684
26519,22684
8814,22684
40332,36874
41054,22684
17275,36864
11655,22684
31937,22684
41053,22684
40340,40701
40265,36880
28237,22684
28171,22684
39403,22684
40398,36895
29427,22684
15753,36980
12250,22684
40393,37053
10202,22684
11259,22684
40135,36864
5780,36893
23613,22684
40367,37869
41055,22684
30686,36895
40531,36880
26652,22684
30623,36828
40664,36829
2341,22684
30022,22684
13440,22684
10335,22684
14629,22684
6774,36828
39206,22684
1353,36947
34978,22684
28311,36828
39014,36829
40990,22684
21368,22684
4528,36828
40267,36875
8684,22684
14366,22684
25927,22684
1952,36828
