instance_hyponym_1,instance_hyponym_2
13493,39512
28784,40634
12470,38454
15901,38603
15901,38588
12470,38468
25392,39279
11990,36960
5320,38933
28532,40244
7393,40215
37241,40612
792,40056
5320,38956
25412,38698
5320,38968
12470,38503
5320,38973
17978,39790
12470,38512
15901,38661
7393,40257
30130,39928
39897,40279
7393,40265
10083,38797
5320,39004
22480,39522
11990,37042
12470,38541
5320,39011
15901,38695
17426,40573
792,40123
1856,39909
5320,39024
2931,39355
5320,39028
27511,39224
15901,38708
36715,40628
11620,40352
30676,39430
18266,39117
5320,39043
11620,40357
792,40158
30401,39783
5320,39062
12470,38589
792,40168
18818,38427
15621,39234
9233,40654
15901,38756
792,40183
16679,39221
6113,39083
15901,38748
2419,38907
5320,39093
5320,39092
5320,39091
792,40200
11620,40415
792,40214
5320,39113
15913,38417
35972,39196
11948,38458
2419,38938
5320,39120
15621,39295
15913,38437
15913,38439
15913,38426
7393,40409
15913,38429
15913,38431
15913,38448
15913,38449
11134,39140
15913,38450
15913,38451
11948,38477
5320,39150
15901,38825
15913,38455
11948,38476
15913,38442
11948,38488
15913,38446
12470,38685
11948,38496
12470,38693
15913,38471
12470,38694
11948,38505
12470,38705
5320,39172
15913,38481
14289,39669
15913,38483
15913,38486
18549,38690
9813,39169
12470,38724
5320,39185
15913,38473
31781,38087
15913,38478
15913,38479
7393,40470
15913,38499
28043,39304
792,40299
2154,39041
15913,38491
5320,39208
5320,39207
15913,38515
12470,38742
10083,39012
15913,38504
11620,40527
5320,39226
18818,38585
13233,39687
15913,38529
15913,38531
11948,38560
15913,38533
15901,38905
26450,39564
28532,40555
11948,38555
15913,38534
15913,38535
15913,38520
15913,38544
7393,40516
26450,39581
15913,38547
15913,38550
15913,38551
15913,38536
15913,38538
2931,39579
12470,38783
15901,38934
12470,38791
12470,38790
7393,40531
15913,38552
7393,40541
15901,38925
5320,39268
12470,38812
12470,38810
15901,38951
11948,38605
22840,36836
5320,39281
12470,38820
36257,38714
15913,38573
792,40389
5320,39287
12470,38826
15621,39455
15913,38595
5320,39291
15913,38599
11948,38634
12470,38830
13493,39884
12721,39241
13230,39859
5320,39305
7393,40576
5320,39308
5320,39307
15913,38600
1649,38424
15913,38602
5320,39311
5320,39318
15913,38604
7724,38516
12470,38846
5320,39321
5320,39319
15913,38627
15901,39000
15913,38628
11948,38653
5320,39324
15913,38630
5320,39323
15913,38631
11948,38652
15913,38617
15913,38619
31189,40199
15913,38620
30164,39206
15913,38623
10686,36834
13493,39930
15913,38643
5320,39342
23310,38716
5320,39341
15913,38646
18077,37084
5320,39343
15901,39009
11990,37387
12470,38890
1649,38469
12470,38885
792,40464
5320,39360
26701,40098
5320,39366
10047,40278
15901,39027
18818,38711
15913,38655
15913,38672
1649,38480
11948,38706
26272,37034
10686,36863
12470,38902
15913,38665
15913,38667
12470,38923
26970,39990
15913,38689
15913,38691
12470,38917
15913,38682
5320,39391
12470,38930
7393,40664
11948,38725
10686,36885
5320,39396
8225,39463
15913,38709
15913,38710
19818,40534
7724,38615
18818,38758
812,39897
15901,39092
5321,39386
15913,38722
15913,38726
15913,38727
15913,38715
12470,38959
12721,39368
11948,38770
15913,38740
15913,38741
11948,38764
5320,39440
10686,36940
20388,39267
15913,38730
11948,38773
15913,38733
11620,40747
12470,38974
15913,38753
5320,39449
1649,38563
11160,38637
12470,38983
1649,38565
15913,38744
4266,39363
11948,38794
15621,39605
7393,40734
15913,38746
15913,38747
5320,39462
5320,39461
15913,38750
15913,38751
11948,38801
18818,38831
5320,39467
26980,39752
15913,38760
15913,38761
5320,39473
15913,38763
35182,39466
792,40580
15621,39625
15901,39156
15913,38785
15913,38778
19818,40602
1649,38607
15913,38782
30401,40239
15913,38800
2419,39314
15913,38802
15913,38805
11948,38841
15913,38793
15867,40219
12470,39042
11948,38850
5320,39511
15913,38819
2931,39848
5320,39519
31781,38424
15901,39185
12470,39053
15901,39207
5320,39534
1079,39934
24927,37924
15901,39201
11948,38870
15913,38829
11948,38868
5320,39539
31781,38466
15913,38849
11948,38882
1649,38674
15913,38869
15913,38871
792,40669
15913,38857
15913,38859
18266,39645
15913,38862
32826,38872
15913,38880
6359,40137
12470,39110
11948,38921
15901,39249
5320,39589
15913,38896
15913,38897
31781,38513
15913,38900
15913,38901
11948,38926
5321,39570
15913,38892
17506,38664
15913,38895
15913,38913
15913,38918
15913,38919
17506,38674
5320,39616
792,40721
12470,39154
12470,39149
15913,38910
15913,38911
12470,39162
7724,38828
15913,38933
15901,39305
15901,39306
25650,40188
15901,39307
33300,40618
15648,38944
1093,39599
4882,36826
12470,39168
5622,38472
5320,39639
5320,39646
12470,39173
15913,38950
8225,39699
15913,38936
15913,38937
26980,39930
4882,36842
12470,39186
15621,39799
15913,38943
2931,39983
5320,39651
12470,39193
5320,39655
11948,38990
15913,38967
5320,39659
5320,39666
11948,39001
15913,38953
15901,39325
31781,38570
15913,38956
12470,39210
5622,38508
15913,38982
15913,38968
11948,39017
5622,38509
15913,38972
15913,38973
12460,39526
12470,39225
15913,38995
11948,39022
32826,38993
15913,38987
5320,39695
12470,39232
15913,38991
15913,39008
4882,36898
15913,39011
5320,39710
5320,39709
15913,39003
12470,39247
15913,39004
5622,38548
4882,36912
15913,39005
11948,39044
15913,39024
15913,39025
5320,39720
9813,39707
15913,39028
15621,39889
1649,38836
26695,40656
11407,39452
11948,39061
8053,36926
1649,38847
15901,39413
15913,39043
12470,39271
18818,39104
12470,39270
15913,39033
15913,39035
5320,39750
15913,39036
4882,36941
15913,39039
13493,40347
15913,39058
12470,39290
26970,40359
11948,39085
15913,39060
5320,39758
4882,36951
33358,38946
5320,39756
15913,39062
11948,39097
21423,40272
15913,39050
4882,36953
8244,39240
9813,39748
15913,39077
5320,39773
11948,39099
2931,40103
4882,36966
15913,39065
5320,39777
16679,39896
15913,39067
12194,39673
11948,39107
15913,39070
15913,39088
36065,36976
13493,40377
15913,39091
31781,38703
15913,39093
15913,39094
5320,39787
5320,39793
5320,39792
15901,39456
13493,40380
15913,39106
5320,39800
5320,39805
18818,39153
1649,38920
15913,39100
8244,39276
15901,39492
15913,39120
15913,39124
15913,39125
5320,39820
4882,37014
12470,39362
15913,39119
15621,39979
15913,39141
15621,40003
