member_of_domain_topic_1,member_of_domain_topic_2
11077,40680
3780,4743
12095,929
17308,3178
16603,33210
17308,3164
12095,938
8420,24750
11127,22763
11077,40697
33834,15152
17308,11386
17308,3179
5266,7852
17045,19526
28699,18701
11406,38693
17308,11398
6066,7640
39072,24851
6709,4089
3294,36240
1117,38193
4013,13955
27985,40874
17308,11403
5654,28626
2349,8205
6709,20503
26476,22137
10960,11611
2783,2953
19658,28686
5743,17693
25798,2181
35186,38861
11261,2289
5743,17694
25798,34980
32299,5475
25798,34976
28699,10575
2106,32147
2211,12510
29246,34604
1117,38238
3294,19910
3638,9246
13056,12205
3294,19909
20190,12221
16603,33332
9634,19992
6672,13503
16313,34133
15388,13644
11406,38791
20426,21312
30378,15926
6066,15925
18223,32270
17220,22427
9656,11147
16603,25171
1845,40295
29068,31976
17308,11503
6710,4178
6066,24147
20426,37746
30378,32336
18344,3976
11261,10571
17308,27902
11261,10570
17308,11520
30378,15975
16313,26000
13061,36697
28522,7972
17308,19725
6709,4236
5213,34228
6066,24174
17308,27921
1117,30147
17308,36123
18407,18445
31122,9298
5654,20584
307,22500
27725,32715
20927,22267
17308,11565
11261,26996
20927,30451
25798,26904
1721,36025
17308,3395
17308,3396
9634,3713
17308,19783
6418,5111
20140,5722
1117,38371
625,37240
11077,40913
17308,19772
3638,17571
4228,23861
11982,37442
20140,5723
24243,34183
16313,9683
17308,19811
28522,8053
6066,7859
6066,7864
20426,29642
30324,25909
18243,15401
9656,19468
2028,34747
2349,223
11077,32762
752,16964
8506,5962
17308,3449
11261,27055
30976,13909
30976,13908
17798,12824
6709,37106
29688,29256
11261,18879
10960,20030
19920,37171
1845,7682
17308,36243
11077,32794
9794,7032
13459,40866
19536,40909
9634,11994
11982,21126
31508,13858
20426,37908
6709,4374
2195,5042
1574,7911
6066,16119
19658,20757
3638,25852
2349,8469
6066,7930
2349,8470
3212,30871
15388,5667
23958,26734
4818,5666
17308,3510
17308,3511
28522,40899
6066,40711
39072,16934
2689,6132
6066,7948
13459,16330
2106,7831
17308,36292
38196,19562
36341,11534
17308,28096
20190,20673
6709,12619
11261,35340
17308,11736
31177,24161
6066,16171
17308,3535
34370,7122
12818,19862
6205,36450
17308,28124
36328,36543
3294,36582
9656,35967
6066,32573
24243,26159
2106,24274
7222,21326
3780,21537
28522,32790
9634,3907
752,8917
6672,38387
1574,8013
16313,9862
7977,22518
5333,30748
17270,12954
6494,2953
16313,9871
4733,16590
9656,11437
1462,36077
5266,24659
17308,11814
3638,1401
1845,40603
2336,33575
17308,28214
9656,19667
36341,3427
6066,8077
4013,22574
5690,19737
34370,15412
9656,19671
6709,37306
12335,10350
17308,20028
625,37499
13061,12443
16313,26322
4228,15923
6066,8104
2210,4757
2689,14486
11982,37694
1462,19758
16901,40854
20816,9599
20816,9600
26476,14370
25798,2613
625,37516
1721,19925
11913,31667
10960,3878
3780,13469
6066,24532
6066,24531
39072,25366
6066,8150
6817,34021
26773,5210
1845,32510
30378,40907
18223,40884
2349,25084
12470,30835
21835,27250
25798,35465
20816,9680
6066,32768
14246,16752
9794,15498
6066,24580
6066,24579
13654,2345
5654,37350
3212,22943
6066,8198
4733,24950
17308,3758
13459,24781
