verb_group_1,verb_group_2
18964,7126
14768,12282
28645,32646
8498,16186
14548,6813
30407,33319
13423,15076
29387,32201
10755,1526
7230,35022
23103,30390
1487,26693
14193,1452
37297,28675
7190,17846
23371,1618
38328,15144
1729,17156
37317,15768
7989,17654
11904,8940
17174,27830
9419,30680
4297,33808
23339,29233
2864,27035
29823,18686
36212,21361
17027,3740
33394,10413
28189,14068
4869,20187
8906,3578
2695,19997
36212,29530
33764,31691
5297,8971
11980,455
12547,32033
35623,688
16110,7594
35724,13944
15570,36619
25364,5382
15557,28843
10274,2151
26810,30210
31639,27967
19614,19805
31446,19610
6364,2531
16239,19987
36122,9845
5988,34677
17028,3740
7966,28660
37193,31918
2108,5455
13178,20695
14402,25759
19502,8960
2649,11221
2151,10274
15173,14142
4833,15202
19215,5592
25977,25346
20723,34622
17096,20073
4638,4869
17495,5660
2765,3547
31356,30620
10729,16754
19985,8360
10620,1711
12538,15981
13073,32160
33935,22356
10333,26990
8970,1660
3512,33649
4451,12732
17447,37880
33394,35036
10891,9704
26990,10333
19853,32928
7190,1554
6139,7511
25145,26571
21038,4408
33590,22855
28555,37622
33019,7781
35615,33813
2448,7254
30008,17152
7779,22222
12440,25188
22944,6757
5455,2108
10729,2448
21003,21871
28611,31808
12884,11433
15768,36720
34483,23829
27144,1504
12901,17047
1986,29783
29395,5451
33524,2379
1526,23565
5382,12573
5239,35439
16562,5962
36587,24153
15879,2559
8846,7601
28843,56
4622,36147
32276,10365
4833,23460
6412,37999
5359,5112
1197,37876
19213,20046
16342,512
35394,9982
29813,12983
22945,6757
25483,3878
11254,2598
217,688
19496,35863
27035,2864
1946,340
15909,20095
17738,6397
11320,12847
16751,20631
1528,1016
1238,30490
35036,33394
5962,6932
12268,22390
26877,24185
16121,21742
7049,20350
22548,35498
13510,300
33149,22285
35022,7230
1725,7229
13433,37500
31059,31771
8273,35667
17846,7190
6364,17029
11285,28322
22377,26479
27830,17174
10790,27277
4870,1908
20558,5041
20853,30733
19497,13380
13216,34002
1527,15436
30719,3415
25977,9103
10365,32276
30590,21742
14739,13418
13410,25959
34622,1229
6932,9684
9845,36122
25994,14738
21840,6289
3257,8929
1207,35617
22469,35941
36079,35944
2764,20121
5400,5988
12826,17453
22540,9187
10858,35456
31594,29573
12539,9964
29530,36212
2638,1508
18005,37138
23813,436
26709,4870
16142,17062
755,25075
15104,28772
26637,3034
2730,2763
12819,9503
3598,25017
14769,28935
12406,12075
32226,7965
2394,9101
15109,14294
31477,10700
4083,34567
19590,6454
20886,31816
22541,25564
7554,29371
28305,23011
32373,36165
7905,67
2861,29452
525,13806
26021,16013
7511,6139
3415,30719
20775,10700
19550,28194
11333,2348
28873,17704
20695,13178
14518,16254
35944,36079
13073,32397
8304,32782
8027,37273
8633,18483
67,23939
35071,22224
4635,19553
21177,16711
28660,7966
35617,1207
31052,19826
14068,28189
4871,12245
26749,34430
21206,17876
4361,3489
23904,14100
23497,41075
2693,1959
12098,13511
35307,14947
4300,9494
31248,15829
1642,36596
31395,5124
30469,17447
34483,28181
24654,35941
12245,4871
27574,8912
15352,8903
512,16342
26479,22377
31839,18005
5643,4740
21098,13049
23811,31346
30817,21010
3517,15352
9363,2059
28591,36795
2213,10729
36596,1642
455,11980
33555,3738
12567,7191
2059,9363
8940,4951
8304,30814
19502,5199
31942,10729
19212,3949
7808,17518
9451,5499
14294,15109
15279,35785
8929,3257
2441,36454
2289,12497
3924,31449
15994,32057
15076,13423
9506,14060
19502,7302
9364,22568
4870,26709
568,31050
2282,37310
8402,3233
33027,11963
16754,6480
2623,32887
20159,21742
30264,17738
34538,28635
6589,14402
26693,1487
32397,13073
27830,9243
32201,29387
7119,28701
24393,13410
3949,32764
41073,41079
27967,31639
35314,10710
1617,12901
7711,41072
4984,6834
34553,3588
14738,25994
3661,31464
15981,22276
31816,20886
29783,1986
5692,1275
9429,34938
36182,6380
36289,37880
15640,32867
26995,18773
5660,24813
1415,31483
2324,36076
35774,25157
9465,9271
21408,36336
30906,40908
30840,22472
20194,2313
18357,20351
33865,4511
8132,17830
21898,2731
2124,30008
29382,20584
14779,10435
30620,31356
5100,5342
6241,35506
9494,4300
37096,588
21551,36044
688,35623
11276,24835
28128,6226
7851,6086
34677,5988
6099,15352
7594,16110
20046,19213
4511,33865
4525,17044
9825,32971
41078,81
2598,11254
34117,25380
822,4869
13049,21098
21289,1189
14194,1986
16176,22469
9494,6383
6364,15352
12075,12406
33808,4297
6688,29902
37297,35404
25380,34117
16754,10729
8490,8862
6932,5962
1610,35774
19319,4949
34553,20095
1275,7254
10553,30931
16264,25917
16595,38202
7279,17743
13163,33999
29622,33730
22824,15087
15027,23317
2345,8912
5382,25364
41079,41073
5499,9451
3425,10258
17830,8132
24291,8542
32237,14114
15829,31248
33466,19013
25125,33879
6289,21840
15199,9825
30264,9759
5451,29395
37739,5384
17029,6364
4473,2379
9358,16835
25380,23963
5736,32860
32971,9825
2313,20194
37310,2282
32764,3949
12610,24569
67,7905
41074,8516
9208,3069
1995,23917
2056,34313
6834,4984
1638,176
28772,15104
8114,32903
29233,23339
922,26478
20295,7556
6932,22444
1663,3512
30210,25812
29902,6688
38236,37096
5124,31395
37880,17447
33568,11859
15768,37317
35067,12497
11859,33568
9834,26709
5736,10383
10709,7779
21460,41076
37876,1197
1283,7119
12732,4451
13410,24393
36667,30461
12765,17776
7781,33019
21361,33935
16177,24654
25030,20537
36619,15570
26709,23787
1618,23371
22390,12268
5691,11804
36795,28591
1452,14193
21348,9765
34938,8339
35667,8273
21755,1247
37126,1928
35002,30907
11051,5402
20584,29382
30601,28092
27187,15144
20121,2764
28701,7119
6064,30987
10413,33394
14779,14780
5384,37739
25075,755
9101,2394
3740,17027
3740,17028
30907,35002
80,30144
32860,35901
56,28843
3034,26637
34921,10928
6095,3433
12567,5552
1198,15981
3661,23598
6365,9405
20187,4869
34074,2411
20730,37192
3433,6095
14780,14779
25759,14402
3489,4361
32397,23665
7601,3864
16527,11825
17876,21206
30852,32647
31579,30590
12573,5382
20095,15909
8964,4622
31449,3924
13739,6110
21025,36249
18622,18586
9964,12539
10258,3425
37138,18005
31089,35561
15144,38328
1248,41077
21742,20159
3544,17010
3069,9208
6241,9187
6086,7851
9271,9465
35415,20273
8516,41074
9243,41073
29316,10688
35715,29382
25424,20745
17447,30469
22356,33935
3738,33555
33320,5342
4869,4638
36249,21025
12966,36260
25564,22541
12181,1198
33661,25483
10383,5736
1959,2693
9684,6932
21742,16121
3512,1663
18604,29422
6226,28128
33743,10701
7779,10709
30461,36667
6763,1247
17518,7808
14915,27067
20775,33818
22276,15981
7191,12567
27067,14915
23598,3661
12847,11320
18483,8633
12961,22134
1986,14194
23917,1995
4408,21038
36454,2441
3875,15030
18094,28908
7254,2448
35439,5239
30680,9419
5112,5359
35456,10858
10729,31942
3240,1957
19997,2695
32903,8114
22469,16176
10942,8970
30987,6064
1986,36745
32879,4755
32033,12547
4589,7259
35941,22469
1500,29300
28898,7350
588,37096
16117,8301
20351,18357
28429,13695
13024,1784
15811,17801
41076,4643
25428,37122
33730,29622
6110,13377
1504,27144
15981,12538
19369,26280
23538,5591
8139,24212
21361,36212
1315,241
37242,2649
3547,33453
3581,5776
23665,32397
34367,5766
5592,19215
12887,30641
1994,9928
4755,32879
2731,21898
13478,8232
1554,7190
32036,2282
4367,1910
4307,22203
2765,35194
20095,34553
10379,16254
3547,2765
3233,8402
1910,4367
21742,30590
8912,2345
33818,20775
13380,19497
24569,12610
33649,3512
31464,3661
7302,19502
33999,13163
32057,15994
13481,6139
5766,34367
11825,16527
31186,12294
9755,13118
6086,1927
35194,2765
11295,8384
29573,31594
7302,5199
12901,1617
6814,12140
9187,22540
17954,25192
5975,1283
8499,27494
30434,31552
27081,4423
26793,33825
31771,31059
29675,14115
30470,24284
12983,29813
21010,30817
2348,11333
35941,24654
1261,2026
18287,18980
12879,37126
1275,5692
18005,31839
37192,20730
20537,25030
32887,2623
12666,37607
1198,12181
17704,28873
1711,10620
32090,33466
24654,16177
37122,37220
37125,4361
12140,6814
25192,17954
25264,34154
33825,26793
37722,12484
5543,24959
35425,22251
26709,9834
15476,9902
16013,26021
33879,25125
23787,26709
