derivationally_related_form_1,derivationally_related_form_2
7419,31198
8338,2709
33053,22989
12547,3309
37995,847
16766,3598
22812,12779
35368,16758
1374,22011
37440,18097
9383,35881
37610,12829
16082,24831
24542,24712
1590,15327
5906,12610
37609,12841
14367,12466
18943,1690
3979,6814
31100,18035
35022,27511
3183,31504
17788,37510
36828,37109
12318,10476
8021,12609
29037,16464
4084,3580
9955,18199
24784,17259
14223,16962
11460,37090
22285,29186
22212,31448
33461,10403
1641,13805
26283,36338
37796,7127
20313,24794
38015,344
9360,36667
12638,584
33454,10668
12141,16002
22591,19735
37457,17623
35093,25371
8297,4102
37356,20759
13664,34341
6016,9286
20777,10453
9416,34964
1656,13376
35002,28243
19913,37225
13560,37570
5302,31428
33106,21487
37669,11105
20608,15706
16054,25808
33782,505
1757,10256
20954,4984
20025,33770
5654,20528
37876,4669
14698,2310
10217,10145
20473,19887
11482,36479
37690,10476
29138,13437
1275,25212
37278,23251
34819,33942
5857,14251
7817,19029
9417,34964
24629,22137
5271,32418
2966,38338
22123,34313
11449,37515
31616,2161
10218,10145
14336,13560
5272,32418
37511,16062
1017,33255
5988,10230
33065,22794
37851,5499
16089,24789
13657,34633
14527,7663
11514,35530
28772,24825
17883,34702
37130,27900
11868,24571
32578,37952
26238,37883
11955,21895
37788,7490
5515,24933
9485,32933
24753,18397
4091,3553
6205,3552
932,35949
18487,16024
38030,42
6267,1645
37622,12664
10220,10175
2975,38165
10520,874
9319,38104
6195,3885
18826,5529
30754,28980
37163,26902
11670,30766
16775,3599
5538,24258
22710,16226
30512,36502
24170,36491
3693,15929
10059,15201
3305,27961
1383,22011
18037,30023
16810,2523
6065,7950
23073,5001
31585,3276
14373,12550
2056,1166
8081,10995
14708,2175
37878,4820
9994,17233
3694,15929
20332,24432
37368,20601
38008,759
14755,726
29233,10666
1344,23251
944,35658
22854,11804
37803,7129
1569,16284
33770,1079
35412,15714
37292,22968
20356,23704
25284,2033
36831,37300
16130,23662
2057,1166
30461,38146
7636,24834
30909,24252
31419,8472
7824,19013
11652,31416
24831,16082
37441,18379
3934,8536
38011,713
18727,8701
37995,1252
24171,36558
5538,24361
37316,22278
1715,11812
35268,20234
23028,6469
8185,7863
28868,22038
37758,8623
3874,10436
1954,4421
16463,13393
35605,9838
7794,19993
3543,20709
30653,32252
34954,30023
13664,34646
28870,22020
16039,26559
37682,10964
12658,294
33456,10899
14714,2091
37682,10965
33559,7710
14502,8674
22033,37345
27382,2598
18031,30341
31507,5795
32858,29482
38020,536
12179,15155
20362,23629
20595,16426
8377,1960
14326,14149
10412,4424
31110,18139
1675,13125
28526,32706
24171,36635
11671,30926
37732,9493
8183,7996
7229,37571
24854,15492
9807,23182
36817,37863
5869,14193
22344,27752
1903,6074
10001,17187
5837,15207
37466,17732
21031,2935
37194,26167
16306,18342
28863,22289
3174,32226
1869,7152
14466,9857
9556,31007
22419,25488
14576,6464
31366,10269
33746,2008
18418,18434
14347,13576
37432,18819
20784,10628
18832,5625
35506,13032
26439,31952
34776,35667
35182,23054
6170,4948
34934,30749
30566,35119
10142,12896
10455,3203
10556,71
8252,5955
17817,37117
35483,13784
35237,21381
3788,13279
9913,20010
20631,15434
37722,9894
23091,4731
30819,27311
3899,9857
35524,12539
24444,28317
3551,20651
31348,10930
10127,13411
37497,16888
10261,9259
18784,7194
12386,8918
22754,15199
6011,9934
19999,35067
31611,2770
29289,9213
35377,17082
21011,3688
35551,11727
16243,20442
12497,5494
31020,21114
11474,37202
5115,37731
29217,11456
12175,15478
28350,38333
19899,38196
3019,37178
18435,18045
9375,36751
10013,16975
6012,9935
27407,2050
10436,3874
3034,36721
9808,23335
24806,17172
17967,32571
32639,36498
32912,28039
2035,2175
27140,10341
29197,12139
13819,30094
27104,11480
10284,8606
33587,7099
24710,20154
26764,22012
5273,32885
37930,3581
18542,14779
35117,25252
26562,28295
27141,10341
1128,30328
33176,19867
20865,8318
37765,8680
37515,16431
30496,37429
14393,12351
13577,37646
6318,532
26270,37384
24973,12054
11722,29623
34776,35859
3578,19944
22562,21253
31472,7183
13564,38066
37613,13423
9344,37809
24154,37453
37766,8685
13563,38102
11771,28128
22345,28019
10241,10020
31402,9397
11580,34043
1103,31161
12206,14658
35112,25452
5682,20295
34708,37977
10379,5756
12313,11348
27381,2986
12326,10943
5224,34507
1660,13921
4057,5155
9824,22987
28432,35951
1161,29398
37295,23344
11678,31058
1240,26957
28809,24289
24195,36246
22854,12280
34936,30984
35497,13593
37874,5444
28601,30754
37945,3247
11529,35702
16747,5003
7577,27141
13628,36168
6330,257
21013,3834
11517,36079
3849,11644
23070,5615
1791,9915
1592,16084
22581,20778
1592,16083
33652,5286
6276,1955
26543,29049
35542,12236
22874,11717
2050,1900
