similar_to_1,similar_to_2
41083,40816
37625,37673
37709,41091
40779,38080
37709,41088
37114,38286
38081,40821
40774,37337
41086,37658
41095,40836
37105,37161
41062,37508
41087,40824
37648,37995
37709,41097
38381,40873
38043,41084
37345,41094
38361,41085
37596,37286
41088,37709
41005,40832
41092,40824
41102,38211
37673,37625
37286,37596
41085,38361
41099,38056
37130,37953
40987,37298
37795,37185
38193,41103
41090,38331
37643,41100
37508,41062
41097,37709
38056,41099
40873,38381
37953,37130
37161,37105
41089,37832
41082,37794
41098,38195
40821,38081
40773,41104
37332,38245
38245,37332
41094,37345
37934,41096
37794,41082
41105,38152
37260,41101
37185,37795
41100,37643
37995,37648
40836,41095
41103,38193
38041,37757
38152,41105
40824,41087
37337,40774
41081,37345
40824,41092
38080,40779
40816,41083
41080,37931
41104,40773
37832,41089
38195,41098
37345,41081
38057,41030
37757,38041
41030,38057
40837,41093
41096,37934
41084,38043
41101,37260
41093,40837
37658,41086
37298,40987
38331,41090
37931,41080
40832,41005
38211,41102
41091,37709
38286,37114
