p14_1,p14_2
116,117
146,147
322,323
370,371
460,461
234,521
617,618
345,628
713,714
764,765
597,778
212,1515
1582,1959
452,1964
1960,2036
1577,2115
2270,2271
1889,2321
2358,2359
906,2426
672,2486
2534,2535
172,2658
303,2717
432,2727
1098,2829
911,2845
993,2906
643,2969
826,2992
447,2997
2441,3195
480,3293
747,3429
1598,3486
2023,3574
2132,3611
1124,3637
152,3820
61,3905
1407,4010
475,4134
183,4172
1430,4239
601,4322
3198,4374
1030,4409
59,4490
2210,4533
3003,4654
878,4665
1015,4667
56,4676
1976,4709
69,4838
2763,4839
2300,4915
770,4948
1537,4996
2349,5044
536,5057
65,5061
1312,5084
3931,5106
1424,5145
1134,5284
982,5327
620,5356
2192,5368
1643,5433
1115,5461
453,5478
1924,5511
483,5614
2642,5615
2517,5637
1772,5640
1143,5643
1218,5802
1663,5904
169,5907
251,5950
1010,6106
1861,6149
1691,6171
1813,6210
1563,6242
949,6435
2343,6482
459,6677
1198,6723
517,6747
1714,6756
2110,6848
1491,6973
2008,7038
1128,7058
1368,7115
2005,2535
2113,7172
1104,5044
1877,7265
24,7446
110,7481
1514,7515
138,7531
683,7574
4203,2535
851,7634
34,7655
2444,7661
3699,7671
663,7715
1872,7782
630,7811
2924,7819
1573,7835
563,7869
1364,7938
598,2535
680,2535
219,7997
1186,8060
73,8092
3185,8121
522,8149
1588,8178
1560,8244
872,8304
5020,8340
924,8363
435,8387
1301,8527
118,8569
269,8601
543,8679
614,5044
696,8702
1472,8810
1461,8885
364,8970
171,8985
36,8987
698,8995
457,9045
301,9083
463,2535
1328,9129
1089,9190
2351,9201
600,9251
40,9257
843,9280
124,9325
773,9345
319,9387
44,9419
5181,9483
1019,9518
1105,9612
1003,9616
1082,9631
317,2535
408,9783
4114,9962
642,10069
1356,10145
848,10245
3333,10259
1127,10266
572,2535
1270,10282
2392,10325
657,10379
314,10399
228,10407
442,10420
223,10550
3328,10568
311,10626
1072,10642
799,10647
417,10674
633,10702
679,10722
1286,2535
298,10753
854,10820
862,10823
1359,10825
627,10834
1088,10871
955,10877
2273,10984
194,11013
559,11017
684,11103
1722,11104
3,11127
1590,11137
774,11143
1377,11178
2909,11241
129,11293
338,11306
690,11326
1062,11400
885,11405
1635,11410
180,11463
395,11492
1627,11523
2451,11528
1848,11535
1735,11561
1483,11580
2103,11614
1179,11656
445,11657
1282,11658
1730,11661
2433,11711
551,11741
580,11749
1534,11773
685,11788
2406,11797
948,11818
874,11820
582,11847
150,11896
1391,11900
1195,11973
343,12007
2470,12070
1542,12078
1686,12082
204,12083
4198,12084
721,12118
1692,12126
610,12184
1240,12207
437,12208
1608,12213
246,12252
157,12279
810,12281
925,12327
1678,12336
1011,12353
1679,12361
1456,12445
2131,12446
667,12476
1594,12521
1615,12580
2144,12626
4283,12691
1994,5044
550,5044
1146,12720
1883,12746
2932,12752
1481,12802
634,12845
880,12860
1787,12880
2371,12954
1489,12965
15,12977
1556,12985
1927,12994
1816,13010
1342,13086
779,13101
783,13103
1049,13154
978,2535
254,13228
1137,13242
507,13337
153,13339
1605,13341
1318,2535
1245,13377
1158,13477
2881,13500
208,13505
1705,13523
448,11400
831,13566
1630,13582
2013,13594
1313,13685
535,13687
1506,13700
63,13739
1173,13774
1478,13801
325,13802
42,13806
1355,13807
1913,13831
735,13848
2499,13884
1086,13886
833,13915
2584,13933
879,13970
2440,13979
3463,13982
896,13995
2369,13996
3159,14021
402,14035
2055,14070
871,14071
2753,14080
383,14082
1862,14090
48,14093
155,14105
1979,14108
3357,14130
2161,2535
2236,14203
217,14230
2579,14239
1041,14265
379,14271
3645,14299
436,14319
347,14326
2465,14330
466,14369
579,14382
1289,14388
300,14392
3105,14475
944,14483
3901,14484
2818,14493
191,14520
2088,14562
357,14569
2754,14573
247,14576
239,14716
1890,14746
2610,14812
1308,14839
1473,14868
1766,14947
525,14954
1738,14984
52,14992
2052,15010
93,15024
803,6149
1267,15044
2971,15053
1747,15121
622,15179
313,15192
75,15195
2506,15235
2518,15241
760,15266
596,15288
638,15299
1135,15305
292,15334
363,15368
203,15375
286,15392
1570,15452
1723,15493
1063,15562
2540,15566
2267,15574
365,15587
3607,15588
534,15610
910,15622
952,15674
722,15694
3726,15716
218,15717
2127,15753
1508,15763
532,15810
963,15818
1685,15826
1839,2535
1157,15854
1046,15866
2365,15876
1239,15914
673,15950
662,15984
2813,15986
533,15992
85,16025
384,16038
416,16040
458,16062
1132,16078
439,16080
884,16103
1575,5044
1516,16129
1223,16138
691,16173
1838,16180
1351,16186
1800,16246
249,16252
132,16256
731,16265
378,16276
615,16331
3698,16373
170,16377
241,16389
2490,16390
1562,16396
717,2535
1644,6149
1185,16466
1009,16468
18,16535
3227,16583
362,16584
573,16600
2112,16603
2927,16613
2053,16620
1655,16623
422,16653
1381,16655
1876,16708
502,16720
164,16736
1176,16796
193,16808
1123,16824
77,16846
821,16852
2274,16865
143,16906
2096,16909
250,16930
772,16934
2536,16961
1136,17004
576,17021
2223,17054
902,17096
637,17098
2795,17118
1531,2535
3559,17167
137,17168
1897,17193
1871,17202
1438,17222
1248,17229
115,17276
2571,17308
315,2535
87,17373
1519,17392
786,17402
1693,17482
1433,17493
2130,17566
2315,17567
2327,17573
1423,17579
3845,17585
1439,17615
797,17652
127,17657
1161,17679
400,2535
1992,17690
2004,17706
1224,17715
2815,17720
888,17728
674,17756
66,17792
192,17827
678,17896
1450,17967
4057,17976
446,17978
506,2535
