p9_1,p9_2
29,30
229,230
775,776
195,900
913,914
318,960
991,992
1000,230
692,30
424,901
1386,901
748,1348
1428,914
1642,900
1736,901
719,262
279,914
1632,262
2154,1348
918,1348
1826,901
2331,1909
609,914
1990,88
1266,901
2681,776
1154,901
526,1909
518,776
841,635
664,776
1503,635
1785,26
508,992
574,776
2411,88
10,262
2478,30
2488,900
1602,776
326,960
294,30
3416,26
3481,992
3572,776
1495,30
111,900
588,30
2150,1909
1210,30
3016,1348
2078,776
1474,914
3196,914
2519,1348
2627,262
2995,960
652,230
1020,1909
140,26
403,230
377,1348
755,776
613,914
1278,776
288,776
2206,776
2514,262
1087,230
1061,30
594,1348
2413,901
1106,262
231,776
983,776
2578,776
1649,26
188,262
2091,1348
2158,30
931,230
2313,26
946,900
3148,900
253,1909
324,992
220,901
567,262
806,30
1621,900
2752,901
2485,914
686,776
1021,914
409,776
510,1348
2341,88
348,30
716,776
2049,992
467,30
1032,776
912,262
2690,1348
1773,992
836,901
4015,230
4280,1348
1467,635
96,901
1814,1348
3515,26
103,776
1853,262
1647,1909
695,992
1677,262
2108,776
242,30
5540,635
870,914
3075,901
894,30
2067,88
1249,776
792,26
4044,960
440,901
861,230
1552,960
1599,914
1253,901
3032,30
1469,960
2965,914
1145,901
1742,914
2989,262
4241,26
107,262
240,914
1769,1348
1327,914
373,900
1578,26
1358,1348
619,262
494,776
1029,900
703,1348
1525,960
2632,1909
4155,1909
2409,901
1083,1348
287,635
655,776
1252,960
2496,88
1170,262
2918,88
704,262
293,262
163,230
6654,88
1022,262
1194,776
397,26
1081,992
1526,914
720,901
2111,230
723,635
473,901
2376,901
2545,262
2507,26
1592,1348
1878,262
1222,776
8719,88
3309,901
1191,262
3527,1909
1040,1348
537,1348
1336,30
1850,960
1873,1348
2097,900
469,1348
1120,900
2427,901
2652,262
320,26
653,230
516,262
1047,1348
2400,900
3585,262
2853,1909
2080,1348
2189,900
869,960
1322,901
2910,262
1133,776
804,960
410,901
334,262
4314,88
226,901
1413,1348
1357,776
1454,230
372,1348
1360,960
2297,262
1196,26
2353,901
2446,992
1629,901
3130,960
3164,776
1546,776
3727,1909
1830,88
1048,30
990,30
1422,914
1203,1909
431,900
977,960
4624,30
2673,992
158,992
687,262
1068,1909
3996,262
980,262
844,30
511,776
3653,26
49,776
2525,914
1339,635
2135,900
3909,1348
1401,30
2635,914
1304,230
456,30
539,262
352,30
1731,1348
519,230
4011,960
2585,776
80,230
31,230
969,776
3126,776
1053,900
1001,901
1798,1348
1160,262
5903,992
496,914
1197,30
3399,1909
412,262
1993,776
2379,776
1462,262
282,992
1633,1348
2042,914
599,776
675,230
1492,30
2783,1909
1505,262
405,776
3777,901
3108,914
2805,30
1881,901
270,30
2355,30
1711,900
4153,262
958,900
4,1348
2029,960
873,776
2735,900
267,1348
2648,776
3207,262
205,1348
1114,776
730,776
1513,30
3346,88
1708,1348
930,230
3912,1348
45,776
2140,26
3672,960
796,1348
333,776
3914,901
1778,776
2024,1348
2852,30
1070,992
119,262
3819,901
302,262
1676,776
4773,262
3464,26
1688,1348
174,262
1073,262
2993,26
2720,1348
1352,960
1116,776
2526,1348
1285,262
426,901
1414,262
197,635
1052,1348
881,776
639,26
520,635
1751,776
1528,776
1527,992
528,776
1370,262
6,776
4151,262
823,1348
1113,26
359,262
199,776
2931,900
14797,88
2448,30
2336,30
3283,262
392,1348
945,960
105,262
2984,230
310,914
762,901
3417,914
2680,26
2597,26
98,30
94,262
965,1348
1583,262
1786,26
656,900
3229,1348
3974,776
1941,1348
368,26
1668,30
4574,960
2157,900
3590,900
101,262
1917,262
275,900
932,901
2073,992
1946,914
3659,30
586,900
632,914
989,901
816,914
248,992
5409,992
266,1348
556,262
2741,230
1804,960
2324,1348
2936,992
1177,635
2497,960
3524,776
3746,900
7556,960
2473,901
2851,1348
2840,776
1382,960
718,30
99,230
2244,262
1309,26
1373,262
3332,262
777,262
4365,262
2276,262
134,262
603,776
3087,26
1432,26
904,960
1509,88
1703,230
3980,1348
1648,88
1759,26
1192,776
414,30
1576,230
3948,776
1761,901
3657,776
553,1348
938,914
274,776
2237,900
2775,776
3383,901
2162,30
186,776
917,901
942,776
