p24_1,p24_2
584,616
590,2016
321,2118
1868,2228
106,2362
141,2498
106,2701
90,3203
2284,3403
1169,3484
763,3658
3814,3815
100,4097
470,4145
349,4376
276,4590
1353,4726
689,4889
3270,4906
196,5100
542,616
196,5380
5541,5542
46,5929
509,5957
425,5987
283,6148
5,6181
411,6211
1393,6236
441,6361
353,6525
276,6561
2243,6573
411,6611
398,6752
749,6814
353,6752
6883,6884
295,7224
1393,7254
295,7567
1310,616
950,616
495,7858
807,616
665,8032
590,8211
104,8535
845,8759
112,8816
1758,8869
1553,9220
595,9270
3571,9286
81,9423
1225,9457
1371,8816
693,9707
264,9776
542,9799
102,9924
3040,9986
2417,10350
595,10448
927,10793
9007,10894
100,7858
8544,11153
283,11202
108,11203
1553,11258
654,11385
793,11606
1774,11679
11701,11702
584,11709
3471,11778
5,11860
46,11971
4714,11995
335,12000
12153,12154
243,12185
2381,12307
206,12423
243,12689
214,12740
427,2535
159,12850
81,616
141,616
9388,13003
3759,13033
187,13060
5041,13124
6125,13198
807,13298
693,13379
470,616
32,13479
369,13563
175,616
335,2535
13696,13697
280,3658
3613,13868
221,13939
654,14101
97,14177
104,616
1074,616
763,14314
108,2535
187,14594
749,616
3887,14708
8265,14729
221,14827
793,14850
32,616
740,14924
425,6148
842,15042
7755,15123
838,15246
509,616
97,15409
112,15590
495,15603
1269,15604
268,15664
1310,15669
845,5929
527,15795
268,15825
1774,14850
3711,15973
280,16088
102,16093
933,16099
427,16115
6643,16214
349,16247
16382,16383
689,16384
3465,16484
206,16624
6978,16646
175,16659
3629,16694
665,16696
11,16729
10143,16775
159,616
950,16804
842,16839
6341,16841
1371,16937
11,8816
1353,17022
6310,17063
527,16624
189,17310
332,17484
189,6752
232,17560
232,17586
1225,616
321,17735
2877,17779
17782,17783
1333,17788
2221,17897
933,17997
1074,18011
441,616
398,18028
369,17735
