p2_1,p2_2
4,5
10,11
31,32
45,46
49,5
80,81
96,97
98,97
99,100
101,102
103,104
105,106
107,108
111,112
140,141
158,159
174,175
186,187
188,189
195,196
199,81
205,206
220,221
226,175
231,232
240,112
242,243
248,102
253,175
266,243
267,268
270,243
274,141
275,276
279,280
282,283
287,81
293,283
294,295
302,97
310,141
318,283
320,321
326,295
333,276
334,335
31,243
348,349
352,353
368,369
372,32
377,141
324,349
392,108
397,398
403,268
405,280
409,5
410,411
414,411
424,425
426,427
431,221
440,441
456,141
467,196
282,353
469,470
473,5
494,495
508,509
510,187
111,141
511,196
516,106
518,232
519,369
520,102
526,527
528,280
539,81
516,542
553,108
556,81
567,335
528,106
537,584
586,106
274,321
588,5
266,590
594,595
599,81
603,141
609,159
613,509
619,353
632,141
639,104
652,584
653,654
205,102
655,243
656,175
664,665
675,112
686,349
266,689
692,693
695,5
652,108
703,369
704,584
519,159
716,595
719,509
720,427
723,689
730,100
748,749
755,108
762,763
10,542
440,104
777,441
574,112
334,369
792,793
796,232
804,411
806,807
197,46
816,349
823,108
775,353
836,335
841,842
844,845
494,321
275,280
861,11
424,509
869,189
870,369
519,268
873,749
140,470
873,335
103,5
894,268
904,842
912,749
917,221
567,108
930,268
931,595
932,933
134,842
938,81
945,689
946,749
958,590
965,398
969,842
977,527
632,159
373,283
98,283
989,81
456,283
510,268
1001,11
426,763
938,232
1020,845
1021,411
917,353
1029,141
248,11
1032,280
1040,106
1047,584
1048,509
599,243
1052,102
1061,5
1070,102
1073,1074
1081,280
946,842
1083,81
1087,100
1113,283
1114,542
946,100
1116,749
1120,933
1133,349
119,693
1145,665
1154,141
1160,793
1170,595
288,221
516,527
1177,232
456,693
1191,665
1192,206
1194,232
140,283
1196,427
1197,495
917,542
188,763
1203,104
1210,763
719,665
1021,749
1222,46
1145,353
720,1225
1053,527
989,1225
1249,749
1252,933
1253,108
1266,542
1278,590
723,206
1285,411
553,276
253,509
1304,206
456,321
1309,1310
1032,470
426,933
1322,689
1327,542
1336,353
1339,97
775,189
1352,1353
1357,112
1358,141
1360,187
324,221
1370,321
294,1371
1373,189
188,369
1382,542
1360,1393
574,11
520,11
282,470
1401,102
1413,141
1414,1225
426,295
1422,141
574,689
1414,221
1432,441
1454,1393
980,842
1462,441
1194,276
1469,411
917,398
1474,542
267,280
816,283
510,584
1492,1074
1495,141
80,425
426,189
1503,32
1505,845
1509,842
1309,411
1513,187
1373,1074
