p16_1,p16_2
160,161
766,767
895,161
1095,161
1857,161
1952,161
1977,1978
2074,2075
2548,161
2764,2765
2905,161
966,161
1129,161
3356,161
644,3360
3692,161
3831,2075
4004,161
4249,161
800,2765
2886,2075
1311,161
4875,161
3630,161
4958,161
5002,161
4827,161
1121,161
433,161
2822,161
5575,161
3122,161
6164,161
6170,2075
1880,161
512,161
6687,161
6711,161
5278,2075
4401,161
801,161
6830,161
6581,161
4181,161
2816,161
5369,2075
5216,161
7333,161
7337,161
7368,161
6629,161
1523,161
7493,161
1362,161
3228,161
6275,161
5176,161
7833,161
1752,161
6327,161
6718,161
8098,2075
336,161
3869,161
4008,161
4020,2075
8627,161
8099,161
1601,161
8596,161
4383,2075
4320,161
8943,2075
5581,161
4901,2075
6345,161
1343,161
2089,161
7644,161
3214,161
6772,161
9474,161
5736,161
8408,161
8742,161
1628,161
6473,161
8653,161
8247,161
8477,161
8837,161
9919,161
2887,161
1435,2075
10228,2075
5092,161
6395,161
6254,767
1974,161
299,767
9282,161
4943,161
1666,2075
3444,161
3923,161
5160,767
5180,2075
6295,161
5685,161
5881,161
4513,161
3915,161
8953,161
2732,161
5493,2075
5302,161
8324,161
11379,161
1680,767
1918,161
7393,161
7310,161
381,2075
2622,161
3201,161
8851,2075
139,161
2620,161
11704,161
5290,161
8946,161
3855,161
6206,2075
8074,2075
3709,767
975,767
5687,767
798,161
7349,161
6436,161
4455,161
3700,161
2136,161
10837,161
3673,161
484,161
8574,161
3661,2075
8662,161
1574,2075
9056,161
9671,767
2988,161
6208,161
5247,161
7366,161
8581,161
3999,161
4976,161
3478,2075
7686,161
3785,161
4227,161
6882,161
6032,161
4491,2765
4323,767
13034,161
1159,161
7846,161
1418,161
1820,161
2975,2075
8107,161
3114,161
5473,161
5159,161
6158,2075
2954,2075
3400,161
8734,161
4748,161
9650,161
3940,161
2724,161
7624,161
5253,161
9664,161
640,161
6450,161
3691,161
1733,161
2976,161
6748,161
6123,161
8322,161
19,161
12611,161
5530,161
396,161
4253,161
2107,161
5847,767
6311,161
244,2075
4164,161
10310,161
12227,2075
3394,161
7472,161
8199,161
449,161
6095,161
4456,161
4142,161
7351,161
4338,161
4905,161
1671,161
11080,161
37,161
2769,161
681,767
6239,161
3267,2075
5772,161
7578,161
6167,161
4868,161
623,161
4051,161
4182,161
1314,2765
2915,161
7802,161
6264,2075
2582,2075
10510,161
6949,161
940,17319
621,161
4529,2075
1337,767
3581,161
6523,161
6076,767
5775,161
4306,161
1651,2075
3461,161
2798,161
6297,161
3181,161
2917,161
