p19_1,p19_2
373,374
574,575
687,688
881,882
918,919
1053,1054
282,1463
1252,1496
293,1744
1196,1855
473,1921
2049,2050
2091,2092
2158,2159
567,2348
520,2393
174,2487
588,2826
2853,2854
2237,2884
197,2939
1525,3015
226,3125
2783,3199
2681,3209
3346,3347
1370,3483
1120,3584
2931,3646
2735,3717
719,3772
1285,3911
3229,3926
723,4215
969,4263
1649,4400
199,2092
1736,4457
242,4481
1061,4494
4280,1054
1422,4660
946,4689
3974,4766
4773,4774
2379,1054
1304,4912
1677,4995
440,5052
1668,5094
2673,5140
469,5164
3996,5172
119,5271
703,5345
1194,5472
2111,5486
3016,5543
2526,5599
2448,5620
2965,5627
3727,5740
4314,5774
730,5781
2519,4689
424,5850
2936,5858
639,5888
3075,6139
3126,6176
1116,6250
1467,6251
2840,6412
931,6448
494,6499
240,6514
1382,6570
1576,6584
917,6602
938,6759
3572,6847
1850,6866
3909,6412
3196,6907
140,6939
823,6946
594,6979
1145,6985
318,7101
2409,7111
3527,7190
334,7207
1357,3584
508,7300
528,5345
2578,7417
426,7423
1029,5472
1081,7684
2313,7702
1083,7705
1068,7761
326,7770
1492,7775
718,7993
613,8014
1648,8062
1632,8339
1253,8386
1703,8397
1731,8438
1021,8487
1647,8496
695,8510
2078,8528
904,8573
516,8577
3524,8580
2067,8667
2597,8669
1358,8670
2648,8690
2331,8755
3332,8832
333,8865
1778,8886
1022,8892
294,8938
912,8975
1546,9075
2585,9091
1020,9128
3399,9150
220,9178
989,9216
2627,9258
403,9346
841,9349
368,9352
2324,9413
1001,9448
2632,9456
310,9471
31,9486
1708,9705
1804,9708
2910,9781
2993,9792
456,9955
2029,10017
1000,10051
1154,10115
1432,10132
1249,10137
4011,10187
3585,10349
2775,6979
1278,10434
861,10461
1527,10477
1711,2092
1070,10512
2042,10515
410,10551
2496,10556
2680,10583
98,10596
1633,3717
2507,10627
2488,9413
1759,10633
1552,10645
1414,10664
704,10691
609,10703
2852,10707
248,10739
6,4689
3777,10752
1826,10759
2473,10826
3912,5472
101,10931
2336,10942
1941,10967
1853,11046
2525,11074
496,11091
3417,11094
1322,11111
526,11138
4365,11283
3481,11301
599,11322
1073,11420
2485,11452
1495,11453
958,9091
1309,11484
1878,11489
348,11493
2024,8528
134,11524
2353,11569
1642,5345
372,11585
2741,11608
392,11634
1352,11655
2244,11697
1599,11911
2276,11912
1133,11914
3309,11915
3087,11925
1513,11932
1785,11942
3914,11991
870,11999
991,12003
1773,12008
2918,12052
1266,12067
1917,12096
3657,12128
3590,12139
4,3209
3672,12242
894,12280
1946,12302
777,12401
2206,10967
2478,12410
4044,12455
1474,12469
231,7705
5540,12530
873,12624
2514,12667
2341,12668
1454,12717
2411,12768
2376,12769
1114,6946
1881,12805
792,12939
4624,12972
279,12987
229,13020
94,13083
942,13133
4153,13150
518,13173
99,13220
3032,13225
653,13259
2427,13315
4151,13327
467,13371
655,13374
111,11585
8719,13403
5409,13413
556,13442
775,374
716,5164
537,13539
1503,13555
656,13570
806,13624
1106,13635
1676,13570
2690,13663
5903,13689
1336,13715
686,13726
1602,13778
4574,13840
519,13851
2135,11322
539,13876
652,13879
1401,13910
3948,13931
1993,9705
2400,3209
3746,5543
1769,12139
324,13981
412,14006
2108,14031
1814,10434
4015,14111
836,14123
3383,14142
3464,14165
1751,14211
205,14248
409,14268
796,14280
431,14327
266,13570
2720,14423
762,14435
103,14498
603,14280
2497,14528
302,14529
163,14549
1830,14578
377,8865
7556,14601
49,3926
1629,14726
2851,882
1360,14766
2140,14778
1032,8670
2157,8528
1197,14814
1505,14826
2189,14498
186,14901
1327,14902
1873,10137
1578,14961
1192,11585
1528,919
1040,3646
1170,15037
1177,15090
804,15097
816,15098
414,15113
720,15114
748,15161
6654,15168
2154,4766
4155,15198
270,15201
14797,15223
1386,15237
2989,15259
1191,15264
3148,14248
3515,15373
2162,15406
1048,15424
3659,15460
80,15480
1798,1217
195,13663
1428,15593
980,15616
10,15633
2805,15637
664,15645
2446,15680
1339,15695
2984,15724
1087,15727
45,5599
3108,15782
930,15802
2995,15891
2635,16001
359,16006
1373,16052
1583,16063
1462,16082
3164,11634
2652,16174
1160,16197
3819,16206
105,16234
2413,16284
3283,16296
267,374
107,16346
397,16352
977,16360
632,16388
1113,16401
2545,16409
274,16450
869,16491
1469,16524
1210,16531
2080,6499
983,13539
253,16605
965,2884
3653,16631
755,16640
405,16643
990,16666
913,16788
675,16802
2073,17002
1203,17044
511,14423
619,17067
1047,13778
288,17105
553,11322
158,17221
586,882
275,8670
352,17326
96,17363
29,17461
844,17474
1990,17498
188,17499
2097,8438
3980,3584
2355,17568
2150,17582
1761,17591
1526,17618
1413,9075
510,14901
2752,17687
2297,17703
3416,17718
3207,17745
692,17761
320,17768
1742,17775
1222,12139
945,17800
1688,14498
932,17884
3130,17907
1621,17960
1592,16643
1052,9091
1509,17992
287,18037
1786,18039
4241,18071
