p20_1,p20_2
384,385
61,438
171,557
194,583
643,583
880,557
303,1002
536,1380
218,583
779,1415
1693,583
1009,1710
1627,1896
463,2025
1127,2048
617,583
246,2250
615,2330
446,557
435,2375
157,557
1124,1710
1003,2461
69,2483
1223,2461
955,2792
2795,385
888,1710
223,2890
522,3061
559,3147
760,557
1483,3434
448,385
193,3475
1692,3476
848,2461
598,3609
3698,2890
1655,2048
684,2048
884,2461
1531,4107
764,3476
2053,557
1245,1002
1534,583
1136,2048
239,4679
34,1710
325,4762
1439,4767
833,583
164,4814
250,583
871,1710
234,5066
129,3434
506,3476
1433,1710
1924,5267
363,5281
770,3434
2369,583
1098,2048
885,5503
579,557
597,5539
622,583
56,1002
952,557
773,1896
300,6081
1678,6082
2909,3476
2349,557
3463,4762
2052,6383
1506,583
5020,1002
821,583
155,557
460,6583
1313,557
1573,4767
1123,1710
2315,2250
338,3434
1342,6810
2441,1002
311,6810
924,1002
2112,3475
2813,557
698,4107
534,583
4283,2048
3003,4767
1161,7130
1872,1002
2008,385
1897,1002
347,7385
679,7416
319,6810
2571,583
292,4767
2536,583
2881,583
2490,7626
1195,6082
1088,7807
810,3434
543,7855
4203,3434
2406,3434
452,3476
249,1710
2131,8067
1011,1710
453,583
2236,3475
85,583
400,3476
1605,1002
208,8380
5181,583
75,8435
191,8446
2274,8635
1218,3434
803,8693
2088,4762
2610,583
3105,5539
383,3476
826,8773
2327,583
774,8809
3559,1896
1481,3147
1137,1002
683,3434
1730,4767
2371,1002
436,583
563,8980
4057,1710
442,4767
1286,1002
2130,2792
1240,1002
1186,2375
2499,1710
1766,583
432,9455
910,583
66,3476
65,385
580,9675
1173,9703
457,8635
576,583
667,2048
1179,3147
116,1710
1239,9905
690,1710
1089,9910
680,583
902,9905
4198,2461
395,9973
797,7385
169,1002
1146,10075
1772,557
1391,3476
1883,2461
2365,8809
1722,10215
3227,2048
2144,3475
601,4762
949,1002
925,1002
1176,1002
118,1002
480,1896
1615,3476
2540,583
2004,10581
600,1002
672,6810
896,557
783,3475
525,1002
1594,557
343,10792
132,1896
1747,1710
3328,3475
674,11008
1115,11021
1062,1002
1663,5267
138,583
416,11084
93,583
696,583
124,11206
1588,1002
1800,1002
402,11295
1994,9703
439,11356
36,11008
1890,11450
73,4762
948,3476
241,7855
1862,2048
87,11513
24,3476
1598,1710
1312,1002
1270,7385
1046,583
2110,3434
1876,11703
1143,7855
2358,11848
2818,3434
1608,11513
1359,2048
1019,583
1289,8773
1508,11948
115,6082
1516,3476
127,557
879,4767
1424,583
2470,557
1135,1002
2433,12093
1979,11084
1473,12165
1927,583
1267,1002
1450,1002
1041,1002
1010,1002
2763,1002
2267,1002
301,583
408,8067
1356,7416
1562,1002
1015,583
1381,7626
422,1002
1575,7807
678,12505
3901,1002
251,583
1714,1002
3645,583
3185,12683
1577,557
2113,6810
458,1002
878,3434
110,557
1630,12824
4114,12836
1960,385
1861,8693
978,583
1816,1002
1461,1710
315,12922
1049,2048
1082,4767
365,3434
137,1002
1976,13044
3931,583
3333,13093
2642,583
831,13143
3607,1002
286,13165
1644,8693
691,557
944,9703
3845,1710
634,2048
2927,3475
2192,6082
872,557
1430,557
1570,11513
143,1710
1582,13666
1889,557
2005,583
180,583
1377,583
40,7385
1456,1415
1537,1710
637,1710
735,2048
582,1896
2579,4767
1691,14194
1871,3475
1787,557
627,1002
2465,14286
573,14293
59,6081
204,3475
247,583
362,3147
722,583
1134,1002
2815,6810
3357,6810
799,1002
1839,2048
663,14471
52,583
466,1710
2343,4767
1514,1002
843,1002
2506,4767
1407,1002
2055,14638
906,583
345,583
298,14654
192,583
1248,1896
963,1002
445,1002
1224,583
2924,1710
370,1710
2440,583
517,7855
1438,385
447,14896
459,11008
1318,4107
1158,14293
2534,583
1848,2461
1308,1710
1104,583
685,7807
1472,583
1489,11513
3159,557
357,3475
475,7416
2517,2375
911,15222
3,583
747,14286
532,4767
786,1002
2273,14293
42,5503
1063,4767
364,1710
183,4762
1478,583
228,1896
2584,11084
3726,15487
314,1380
1282,583
2392,2048
2127,1710
44,1002
269,583
502,8693
1635,1002
217,1002
2210,1710
15,583
2270,1002
1838,557
379,583
1185,583
572,15791
1560,385
322,1710
673,15845
483,557
1519,583
610,1002
2518,3434
2451,1002
1368,14293
1132,15989
254,4767
18,583
203,7385
2096,583
1491,1710
313,15487
1877,6082
1198,6082
1328,16148
1563,583
1679,557
731,7385
657,4762
437,2375
152,16236
417,1380
721,8809
2132,583
620,6082
1686,583
1738,2375
2023,583
1735,6082
2300,16536
1086,11513
713,6082
535,16577
662,9703
717,6583
3699,6810
633,6082
1301,3476
1992,1710
2754,583
1723,16822
851,8635
219,583
3198,16862
2932,557
1685,1002
551,5267
153,557
993,4767
638,583
1128,2048
854,3475
146,1002
1813,385
1157,8435
642,15989
63,17211
1351,17242
378,6081
2971,583
172,583
1105,1710
874,557
1542,17350
1913,583
982,17396
1072,6082
48,1002
1423,3434
2223,17418
2351,1002
772,557
2753,3147
862,557
1643,583
2013,3475
170,11703
550,1002
2103,583
150,1002
614,583
2444,583
77,4767
1705,1002
596,583
1364,583
533,11356
1355,583
1030,18030
212,11356
