p23_1,p23_2
344,354
149,593
190,354
64,781
25,822
64,905
222,971
261,1014
74,1033
202,1059
60,1084
423,1033
404,593
154,1190
558,1257
404,1305
74,1306
233,1307
39,1306
128,354
261,1369
151,1372
361,1375
149,971
35,1392
72,1404
423,1369
227,1084
344,1499
64,1499
74,781
76,1561
72,1600
182,1392
43,1620
33,1190
86,1372
84,1372
109,1305
64,1561
23,1033
190,822
312,1392
39,1392
149,2007
207,2015
76,1306
342,2099
51,1369
233,1561
342,1305
344,822
344,1306
23,1084
25,593
342,1033
51,2516
64,1620
149,1190
399,2099
227,781
2,1375
128,1307
62,1392
47,1499
68,1084
17,1059
136,905
356,1375
72,1372
72,1499
128,1059
227,822
64,1190
423,2015
209,1033
68,593
68,1307
581,1014
342,822
14,1375
55,1307
51,781
14,1372
60,2007
14,593
68,1561
399,971
33,1392
17,1084
47,2099
23,822
68,1033
209,1305
128,1369
74,1257
86,905
23,593
154,1392
151,2099
558,781
361,593
233,1014
33,1372
149,2516
227,1620
109,2015
404,905
39,1190
72,971
233,1620
25,2099
43,1561
84,1561
43,2007
558,1561
342,1306
136,1033
312,2015
60,1033
2,2099
76,1499
17,1033
233,1305
222,1190
344,1620
60,1499
222,2015
238,1257
182,1306
190,1404
581,1600
23,2007
136,971
361,2099
60,905
233,1375
43,2015
35,1372
423,1375
128,971
344,971
55,1404
222,1033
154,2516
261,971
62,1307
33,1257
41,1561
558,2015
76,2099
182,1307
233,1033
361,1306
182,971
74,1084
136,1372
207,822
72,1307
312,2099
156,2015
136,1404
51,1033
423,1404
238,1306
558,2007
399,1369
33,781
356,1059
43,1014
182,822
76,2007
14,905
41,1059
84,1014
558,1375
62,1305
72,1257
72,1059
222,1014
190,781
25,1014
156,593
23,1059
86,593
344,1084
202,1014
76,1372
60,781
84,1620
404,1257
86,1561
342,2516
64,1375
33,1305
35,1404
156,1307
33,2015
154,1307
74,1369
51,1372
149,1257
356,971
356,1014
55,1059
558,1305
25,781
128,1084
342,1620
151,1404
23,2015
47,593
72,593
149,1561
109,1600
581,2007
149,781
51,2099
361,971
154,354
47,2015
154,1084
64,971
128,1600
51,822
202,354
41,1033
209,1392
109,1084
149,1620
209,1561
399,1190
51,971
149,1600
182,593
60,1257
74,1190
151,1499
261,1620
25,1561
62,1033
55,971
404,1307
39,1033
399,2516
47,1257
581,1033
233,593
74,2007
55,822
182,905
2,1369
344,2007
238,781
64,822
72,1084
227,1190
151,2516
156,1190
312,2007
72,354
361,1369
55,1190
43,1392
207,1404
209,1404
68,2516
207,1033
361,354
581,593
64,1369
55,1369
62,1372
14,1404
558,1190
356,1369
399,781
64,354
64,593
2,2516
156,1375
399,354
39,781
86,1305
156,354
86,1499
62,905
399,1084
202,593
202,1372
151,1620
361,1404
68,2099
209,1084
154,1499
86,1059
154,1372
23,1257
14,1305
72,1369
62,1084
62,1499
39,1600
47,781
41,1257
222,2516
261,1306
84,971
312,781
