p10_1,p10_2
37,38
125,126
244,245
839,840
1314,1315
1362,1363
1752,1753
2011,2012
2089,2090
621,2272
2366,2269
2620,1315
2887,2888
2917,840
1159,2888
2988,2391
3214,2700
1095,2090
2622,2139
396,3433
3461,1544
3478,1999
3630,2581
3691,863
3709,1999
3869,707
2107,3415
4059,1363
4142,2425
4181,3415
4201,2269
4510,3433
3715,4584
3673,2391
4827,1162
139,2012
4868,3415
1628,2139
2975,3783
4253,38
5180,2509
5290,2139
1666,2888
4227,4569
5685,3415
5687,2888
5847,1999
644,1363
6076,2090
6095,524
2816,3415
6208,1559
6254,3085
5410,3842
6327,3177
4008,3177
2769,1999
2724,1363
3114,3177
800,1363
5575,923
1977,1162
6772,2090
6882,2139
3940,2700
3122,2972
6949,2391
1343,3415
2886,3415
7310,707
3692,1999
484,3553
1820,1162
6718,3397
6164,2090
6436,2700
7644,1819
19,2391
798,858
4491,1654
5160,2679
2548,1363
1435,3318
2915,2012
5581,3498
8324,2679
7368,1999
4943,1999
8099,2319
6167,28
8946,2391
8098,1999
4958,1363
5302,28
8943,2786
3581,3415
5473,2391
8662,3326
381,1233
8837,4136
966,4884
5736,3495
5176,1100
1857,2786
8851,8346
1311,2269
6830,3433
6687,3177
8734,1999
2976,1999
1671,8346
3785,858
336,4174
1601,3177
10310,2139
3700,707
9474,1999
3394,126
9664,4174
3915,28
5253,2986
10837,1363
8742,28
433,858
5775,2554
1121,5848
6629,1417
2732,1999
6473,2064
4455,4174
4004,2038
7349,2090
9671,2010
6748,1999
5881,840
1418,3472
6123,2012
8653,1109
766,2671
6170,3415
6032,2391
4182,1999
9919,126
6275,126
1337,1233
6297,1363
3444,3415
4976,307
4529,3415
4320,840
1574,3944
801,1100
7624,5054
8477,840
2954,2269
13034,707
1733,1363
6345,1363
6264,2700
9282,3433
4051,1999
6395,477
449,1363
3923,3326
1952,1749
6523,8346
13493,1794
4020,406
4249,1819
4306,5113
8322,2269
7578,4477
3201,5792
8596,4717
5159,707
3181,1363
9650,858
8953,858
6239,3397
5002,3397
3228,1233
6581,8346
11080,3979
4748,2010
7393,1803
6158,1535
7337,1819
2582,840
2074,3553
4901,3433
4513,1803
7366,4884
8627,2869
3852,3415
3855,1363
7846,2012
6206,2064
640,2700
12611,1999
299,4569
7472,1999
3831,1999
2665,3415
2764,3415
895,2391
7802,1999
1651,1999
7833,1999
5369,1999
7493,82
1974,1363
5493,28
7351,858
2136,1999
2798,923
7686,1100
11379,3397
3400,2700
5772,1999
1680,4174
1129,3433
3661,1999
9795,3250
8408,1559
940,1999
8074,28
8247,1999
6450,1999
4456,2139
5247,3177
5530,5792
681,1363
8574,2012
8581,3397
12227,28
975,1363
8107,1645
9056,1363
4875,126
1523,3842
1918,2786
4905,28
6311,3177
4744,2269
3999,1363
160,2269
4323,1999
512,2012
5278,2581
5216,1315
4401,1803
2822,1363
9618,126
3267,1999
4383,2425
623,2269
6295,3472
8199,3553
2905,3177
5092,1363
7333,2581
4338,38
11704,2090
4164,5785
8299,1999
1880,1538
10228,486
6711,5848
3356,1538
10510,1999
