p6_1,p6_2
21,22
428,22
454,22
552,22
602,22
710,22
715,22
724,22
725,22
866,22
867,22
908,22
972,22
1064,22
1103,22
1117,22
1138,22
1237,22
1396,22
1431,22
1482,22
1490,22
1545,22
1631,22
1725,22
1737,22
1824,22
1856,22
1884,22
1894,22
1901,22
2026,22
2082,22
2087,22
2123,22
2129,22
2173,22
2181,22
2202,22
2442,22
2474,22
2591,22
2685,22
2704,22
2733,22
2800,22
2848,22
2871,22
1326,22
2897,22
813,22
3014,22
213,22
3043,22
3053,22
3068,22
1476,22
3077,22
3095,22
3097,22
3098,22
3102,22
3133,22
3135,22
3176,22
53,22
3239,22
3361,22
3387,22
331,22
2731,22
2784,22
3487,22
3500,22
3503,22
3507,22
3514,22
1929,22
3594,22
3650,22
3662,22
144,22
3708,22
3720,22
3723,22
3725,22
3389,22
3732,22
3748,22
3768,22
3818,22
1966,22
3865,22
3269,22
3878,22
3883,22
2434,22
2515,22
3335,22
3215,22
3949,22
2614,22
4026,22
1522,22
4071,22
165,22
4099,22
4106,22
4161,22
4175,22
4256,22
4274,22
3877,22
4332,22
4285,22
4387,22
3857,22
4480,22
4506,22
4522,22
4567,22
4140,22
4604,22
4608,22
3008,22
2350,22
4669,22
2283,22
3294,22
4739,22
2973,22
2876,22
237,22
4942,22
4965,22
2998,22
4990,22
3612,22
5003,22
5063,22
4800,22
2242,22
5115,22
5117,22
5238,22
5348,22
2314,22
5378,22
5389,22
1316,22
3039,22
5423,22
5431,22
2958,22
3186,22
5360,22
5514,22
5533,22
2222,22
5552,22
1215,22
5391,22
5206,22
5630,22
5650,22
5651,22
4865,22
5669,22
1455,22
5671,22
5673,22
5686,22
5688,22
5706,22
2416,22
5764,22
2914,22
5823,22
5832,22
5949,22
5958,22
5961,22
5966,22
5973,22
2766,22
5999,22
6001,22
6045,22
6049,22
6088,22
6093,22
752,22
6127,22
6138,22
6157,22
5585,22
4768,22
6288,22
3192,22
6374,22
2437,22
660,22
6470,22
6472,22
6477,22
6498,22
6508,22
6453,22
6529,22
6550,22
4862,22
5560,22
6026,22
6726,22
6735,22
6737,22
6464,22
6852,22
2873,22
6904,22
1852,22
6980,22
7005,22
2429,22
3627,22
4445,22
3134,22
7215,22
4787,22
7296,22
3252,22
7318,22
3881,22
7360,22
493,22
7383,22
6440,22
6199,22
3628,22
7410,22
7461,22
3244,22
4361,22
7547,22
1434,22
538,22
1268,22
3297,22
7009,22
7700,22
5861,22
5738,22
4485,22
7279,22
2987,22
7824,22
7859,22
2713,22
4464,22
7895,22
7577,22
5424,22
7604,22
5645,22
7960,22
7987,22
7999,22
7074,22
8010,22
4159,22
6742,22
4599,22
8093,22
8096,22
4373,22
8150,22
2865,22
7891,22
5362,22
8198,22
8207,22
8210,22
3071,22
6592,22
926,22
8147,22
8314,22
8321,22
2926,22
8353,22
4205,22
8379,22
8385,22
6574,22
2229,22
8450,22
2006,22
1475,22
263,22
7964,22
7431,22
981,22
3707,22
4653,22
8579,22
6428,22
1238,22
8659,22
1107,22
6528,22
3138,22
8726,22
7757,22
8768,22
4343,22
7110,22
7183,22
7280,22
8842,22
8844,22
8893,22
8900,22
4694,22
7079,22
8849,22
5354,22
6727,22
2537,22
7331,22
8967,22
6015,22
3706,22
413,22
7348,22
7883,22
5980,22
8766,22
8979,22
6688,22
9070,22
2532,22
9081,22
9106,22
5488,22
5125,22
4236,22
5880,22
6765,22
9229,22
3729,22
5728,22
5314,22
4264,22
7753,22
5403,22
4841,22
4790,22
3315,22
9373,22
9296,22
9378,22
6344,22
4113,22
6870,22
7474,22
3714,22
4855,22
9499,22
5014,22
8109,22
3654,22
9529,22
6833,22
9583,22
9606,22
6070,22
8563,22
9649,22
9681,22
5829,22
3747,22
9727,22
9747,22
7365,22
9788,22
9250,22
9834,22
8484,22
3187,22
2198,22
6150,22
5105,22
1965,22
9871,22
9875,22
4315,22
1893,22
9971,22
5835,22
3362,22
2128,22
5580,22
7650,22
4900,22
6618,22
10057,22
10072,22
10091,22
5564,22
7468,22
5017,22
1831,22
5464,22
10217,22
6744,22
4562,22
9125,22
10251,22
837,22
8451,22
7042,22
4987,22
9584,22
10164,22
8382,22
10382,22
3240,22
7186,22
6862,22
6274,22
10520,22
1812,22
1332,22
771,22
10608,22
4850,22
10650,22
6739,22
6494,22
8874,22
2624,22
2774,22
6372,22
10822,22
1895,22
10569,22
3913,22
9672,22
3758,22
8925,22
3386,22
10055,22
4447,22
418,22
4834,22
6607,22
11055,22
11063,22
11068,22
11032,22
4935,22
3493,22
5291,22
9767,22
6285,22
2385,22
5870,22
3477,22
2878,22
2952,22
6697,22
4539,22
5642,22
8680,22
11234,22
6755,22
6159,22
7841,22
9320,22
4152,22
7863,22
10157,22
10873,22
668,22
591,22
4835,22
5056,22
4300,22
135,22
1898,22
6738,22
5204,22
5707,22
10190,22
5633,22
8989,22
11494,22
6227,22
11519,22
2806,22
11544,22
7361,22
11565,22
4969,22
5223,22
11586,22
4763,22
3935,22
1854,22
7064,22
2220,22
7504,22
6513,22
7276,22
11680,22
10013,22
9261,22
8866,22
8068,22
4731,22
11130,22
5654,22
11822,22
5613,22
7887,22
11867,22
7920,22
8474,22
2370,22
3266,22
8349,22
6888,22
6705,22
3971,22
7508,22
4235,22
11692,22
7710,22
6273,22
11876,22
4547,22
11985,22
11997,22
9570,22
7347,22
2695,22
10390,22
12043,22
9691,22
1715,22
4493,22
12076,22
12080,22
10105,22
12091,22
5195,22
2789,22
1939,22
5938,22
9061,22
6051,22
2531,22
7571,22
3411,22
2342,22
10538,22
12182,22
11355,22
8682,22
5605,22
4611,22
8052,22
9687,22
3462,22
7252,22
4664,22
548,22
9465,22
7615,22
6009,22
1653,22
7153,22
2839,22
3193,22
7270,22
6957,22
3969,22
5521,22
6644,22
5101,22
3501,22
12383,22
4560,22
3205,22
2056,22
782,22
4927,22
6874,22
5028,22
10400,22
12467,22
1164,22
8457,22
7158,22
7805,22
464,22
868,22
7693,22
10773,22
2408,22
11607,22
9436,22
7422,22
9656,22
6909,22
9035,22
12558,22
5970,22
4262,22
9407,22
8262,22
12589,22
5081,22
6691,22
5479,22
3588,22
4887,22
10082,22
265,22
10813,22
8588,22
9885,22
2776,22
7180,22
4643,22
10966,22
6043,22
8381,22
6901,22
7933,22
4573,22
8144,22
8326,22
6331,22
5282,22
11566,22
897,22
12062,22
11296,22
8434,22
4970,22
4782,22
6936,22
5840,22
1512,22
12885,22
1365,22
12920,22
4446,22
5387,22
9825,22
9059,22
12942,22
10605,22
3143,22
5939,22
11505,22
3049,22
2686,22
2238,22
9842,22
2180,22
4082,22
2820,22
7201,22
5992,22
11845,22
2925,22
1995,22
12239,22
10810,22
2489,22
11338,22
11632,22
7261,22
7107,22
5402,22
8141,22
6350,22
9024,22
4139,22
4645,22
7317,22
10869,22
10704,22
13290,22
8505,22
9859,22
3735,22
6736,22
4001,22
6386,22
346,22
7488,22
4242,22
12707,22
2696,22
12284,22
8165,22
8620,22
7979,22
1168,22
3690,22
6598,22
2919,22
6403,22
13464,22
198,22
7195,22
13486,22
1069,22
1008,22
6378,22
2296,22
5377,22
3859,22
4413,22
8426,22
13497,22
5306,22
4949,22
6935,22
13668,22
3728,22
13717,22
6924,22
10347,22
2398,22
8721,22
4045,22
360,22
13784,22
3257,22
7212,22
4340,22
4431,22
2289,22
6118,22
6634,22
9595,22
5175,22
6205,22
4429,22
3656,22
1851,22
6918,22
13457,22
1757,22
9006,22
13916,22
6896,22
2980,22
13943,22
754,22
585,22
11726,22
11510,22
11319,22
3886,22
4833,22
5692,22
89,22
887,22
3260,22
9509,22
57,22
10286,22
1867,22
10470,22
4360,22
4635,22
9256,22
95,22
3232,22
1437,22
7119,22
5450,22
4495,22
6588,22
4588,22
6267,22
2928,22
14144,22
7565,22
5779,22
10655,22
8843,22
14189,22
11681,22
3595,22
4024,22
6121,22
308,22
6241,22
11968,22
10198,22
883,22
6270,22
6491,22
4857,22
1863,22
9462,22
13036,22
8020,22
12038,22
13420,22
3704,22
14402,22
8350,22
8572,22
11129,22
7919,22
7006,22
8454,22
733,22
14519,22
7016,22
9032,22
2895,22
1262,22
6027,22
8447,22
13116,22
8584,22
1687,22
14637,22
12961,22
8529,22
9221,22
4410,22
9324,22
8179,22
1982,22
8976,22
162,22
1922,22
1397,22
10900,22
12414,22
8229,22
3158,22
8498,22
8776,22
5680,22
4058,22
10418,22
2956,22
14067,22
4046,22
8031,22
7947,22
4229,22
14930,22
3534,22
10126,22
4953,22
11031,22
4154,22
1815,22
4713,22
4716,22
1750,22
390,22
7173,22
5351,22
11016,22
11159,22
13050,22
7506,22
2380,22
12146,22
2241,22
3142,22
3485,22
12357,22
8646,22
7015,22
9372,22
7134,22
2970,22
7339,22
4238,22
849,22
7738,22
5418,22
13487,22
4668,22
6639,22
8673,22
12713,22
14712,22
7483,22
1908,22
5170,22
6253,22
15376,22
8912,22
1468,22
13142,22
1297,22
4212,22
711,22
8376,22
11862,22
15426,22
9088,22
13246,22
2218,22
8188,22
7091,22
2589,22
2634,22
2999,22
12431,22
5265,22
15608,22
5917,22
3329,22
3282,22
6988,22
11716,22
6567,22
10527,22
5815,22
11333,22
13069,22
327,22
13409,22
2081,22
9850,22
9240,22
9293,22
12733,22
12758,22
5944,22
6018,22
7384,22
4326,22
2568,22
7284,22
3026,22
11664,22
2032,22
1199,22
7479,22
3385,22
7639,22
8409,22
2687,22
564,22
5586,22
6177,22
6761,22
4898,22
4352,22
1953,22
14848,22
7145,22
11500,22
4255,22
1300,22
4463,22
7229,22
468,22
8430,22
2683,22
3757,22
1689,22
2817,22
4030,22
4042,22
5884,22
10844,22
7050,22
6751,22
4025,22
4032,22
11786,22
11584,22
10770,22
13391,22
8358,22
2738,22
6471,22
9764,22
7834,22
6474,22
4289,22
2874,22
2961,22
4176,22
7937,22
3989,22
8388,22
9684,22
10559,22
5997,22
7041,22
10081,22
9454,22
11939,22
4237,22
3410,22
6154,22
5221,22
10275,22
3608,22
15124,22
9043,22
5771,22
4896,22
2527,22
5352,22
11669,22
8106,22
6917,22
4715,22
6802,22
10916,22
8173,22
1023,22
8051,22
9397,22
5845,22
14816,22
8920,22
13292,22
5979,22
7214,22
9742,22
7748,22
6890,22
12179,22
11806,22
4039,22
10330,22
11236,22
11445,22
11793,22
7609,22
11409,22
