p1_1,p1_2
2,3
14,15
17,18
23,24
33,34
35,36
39,40
41,42
43,44
47,48
51,52
55,56
43,59
60,61
62,63
64,65
68,69
72,73
74,75
76,77
84,85
86,87
74,93
109,110
60,118
33,124
64,127
128,129
136,137
60,138
41,143
149,150
151,152
39,153
154,155
156,157
86,164
47,169
2,170
154,171
182,183
190,191
68,192
190,193
182,194
202,203
154,204
207,208
209,191
209,212
207,217
17,218
35,219
222,223
227,228
64,223
233,234
238,239
136,241
151,246
68,247
68,249
60,250
47,254
202,269
41,171
74,18
128,286
41,292
51,300
209,301
222,303
136,311
312,313
128,314
207,317
41,319
39,325
342,292
344,345
182,347
356,357
151,36
361,362
128,363
238,364
202,365
72,378
202,379
261,87
41,383
399,400
86,402
404,73
39,408
33,417
261,422
423,292
156,432
399,435
109,436
423,437
84,439
399,442
55,365
207,446
72,447
23,448
207,452
74,453
136,457
182,458
151,459
51,63
62,93
55,463
209,466
136,480
261,383
14,192
51,502
356,506
39,507
361,180
190,448
84,395
202,155
149,517
404,34
361,522
154,525
342,532
156,533
47,534
39,535
207,536
154,543
202,550
399,551
84,93
558,559
558,364
109,563
156,56
84,572
17,573
209,576
68,579
227,338
222,384
156,580
581,582
51,317
76,364
47,15
43,596
202,597
151,598
62,129
86,600
558,601
23,610
68,559
74,614
25,615
342,217
312,622
423,627
76,630
423,633
60,313
207,634
25,153
207,637
156,638
233,582
76,642
136,657
558,662
33,663
156,365
72,667
156,152
60,672
25,673
41,61
233,674
2,678
182,679
35,65
361,680
154,683
344,684
558,685
342,208
64,690
404,691
74,696
41,698
51,698
154,638
17,717
62,338
68,721
312,722
190,717
33,731
72,735
312,171
156,269
23,747
312,204
399,217
23,760
35,576
74,770
43,241
404,772
227,773
43,774
558,779
64,630
128,783
51,550
47,786
68,799
342,803
33,810
76,821
68,77
17,301
86,93
62,460
23,826
55,432
209,833
238,180
39,843
423,721
17,402
55,683
202,848
43,851
202,854
361,453
312,770
62,862
342,480
128,722
41,408
581,871
84,872
202,874
25,878
182,879
17,884
2,888
35,40
35,896
68,143
2,667
35,902
51,803
342,906
43,910
51,911
136,924
222,925
207,42
202,169
156,944
2,949
136,952
202,722
128,955
60,963
399,773
35,63
43,978
558,982
14,157
423,249
558,69
149,684
399,786
356,993
23,871
55,902
128,170
84,223
2,1003
312,721
361,1009
47,1010
154,1011
222,110
25,910
312,525
149,1019
238,152
60,1030
55,638
151,1041
361,1046
222,1049
149,911
558,610
23,1062
128,1063
62,674
51,638
64,1072
207,1082
312,286
39,1086
47,1088
207,466
14,615
312,874
33,437
156,1089
51,683
23,698
55,1015
17,1098
261,851
25,1104
182,1105
423,132
151,448
154,1115
156,506
74,1123
62,1124
404,1127
151,1132
14,597
423,1134
39,1135
17,1136
151,1137
23,1143
312,579
72,1157
344,1161
361,217
399,1030
23,1173
51,874
209,880
74,1176
356,536
25,1179
84,1185
39,1186
72,685
227,208
43,543
39,1195
227,319
154,317
35,1198
149,3
128,445
361,596
190,797
238,1218
209,598
60,773
72,1223
151,810
84,1224
558,735
109,63
51,543
62,1239
109,1240
209,1245
62,1248
76,543
35,582
233,662
43,1009
581,673
342,924
423,1267
14,1270
361,1282
23,911
233,1286
51,1289
14,1088
190,1301
47,774
356,551
64,1308
558,452
356,1313
41,1318
233,85
25,172
55,506
182,906
581,620
43,522
43,1046
342,192
312,483
404,1239
74,1351
154,129
47,1356
23,1359
209,620
261,1364
2,1368
17,110
33,1377
361,1289
128,963
47,1381
33,576
154,300
182,1391
202,1011
2,250
86,246
41,1062
47,313
41,799
423,1318
190,314
39,480
149,1185
558,543
35,674
190,1423
207,1424
356,1430
35,1433
62,1438
261,1439
128,620
399,1286
25,246
35,783
149,1450
68,1456
151,1195
33,684
581,507
72,1461
64,87
312,1135
207,194
342,1472
361,1473
202,1318
202,1478
558,1481
76,1483
72,1489
64,601
43,1491
361,637
581,1134
149,48
202,1115
227,192
35,862
190,1506
361,1508
344,1506
84,1514
399,228
2,533
68,1186
238,1516
581,580
72,1049
72,1519
84,436
356,1531
207,1534
62,1537
233,246
84,442
74,42
182,1542
581,439
423,65
423,164
60,532
68,1556
14,378
149,1560
399,1562
33,1563
128,63
25,1570
47,1573
156,1575
33,1577
68,442
149,1519
43,1582
151,1456
238,143
33,1588
154,774
35,1590
356,303
404,1594
209,1598
74,622
342,116
222,1605
233,799
423,1608
2,432
39,447
2,1615
399,93
2,452
76,550
207,475
51,458
76,347
361,1423
238,362
154,662
43,1630
209,1588
190,1377
154,1635
261,1643
399,1644
84,630
47,1173
41,993
581,1461
72,507
136,1655
202,1088
128,303
344,1088
109,772
423,1663
344,194
60,598
209,110
356,862
361,1678
64,1438
2,157
62,1685
342,300
361,15
156,502
312,63
233,1686
128,1407
43,1691
109,1692
581,204
17,610
17,559
84,1705
25,1473
86,15
136,600
64,872
558,1433
342,507
55,848
423,1714
68,1407
149,1128
222,1722
86,1003
558,1723
344,1730
404,1003
2,1735
261,457
14,1738
149,56
51,642
128,533
109,1685
76,1537
