p29_1,p29_2
88,1366
905,2114
504,2859
404,3300
399,3939
1084,4029
960,4079
207,4482
41,5158
593,5407
68,6114
558,6522
1561,6803
149,6937
55,7522
182,7635
230,7868
776,7980
30,8111
1257,8259
781,8645
1306,9519
1404,9528
202,9611
1909,9702
1305,9941
855,10402
822,10571
136,10789
1392,10797
354,10831
992,11076
462,11317
262,11434
1190,11490
1294,11651
1600,11660
227,11743
43,12503
2015,12814
1014,13104
2,13474
1307,13580
361,13592
60,13653
1499,13798
25,13987
635,14617
2099,14867
2007,14951
51,15316
190,15326
2516,15445
1059,15661
26,15702
3112,15788
1369,15937
209,16311
971,16412
86,16511
914,16756
901,16856
2447,17001
1348,17324
900,17349
1375,17360
1372,17375
1620,17619
35,17669
1033,17683
