p18_1,p18_2
336,337
381,382
975,976
1121,1122
1666,1667
644,1790
1820,1821
1918,1919
2136,2137
3394,3395
798,3452
3715,3716
2366,3730
3852,3853
2548,3858
3915,3916
4051,4052
4320,4321
4323,4324
4513,4514
2887,4538
1880,4558
4004,4745
4455,4907
4943,4944
4976,4977
1651,5032
5092,5093
2764,5136
3267,5168
681,5169
5302,5303
3581,5308
5530,5531
5581,5582
5736,5737
3940,5886
6123,6124
6206,6207
3855,6222
2954,6229
4383,6262
1952,6296
6297,6298
5159,6343
3661,6503
6581,6582
1628,6612
2622,6616
6629,6630
1523,6843
4901,7092
2011,7509
1129,7528
7578,7579
5180,7590
4181,7622
3691,7745
1435,7838
7846,7847
4827,7860
6311,8019
5847,8130
160,8171
8199,8200
6450,8266
3228,8286
4227,8425
484,8512
8581,8582
8596,8597
3181,8603
1095,8692
8477,8820
2822,8861
4958,8942
5216,8961
4201,9051
5290,9068
1857,9082
8627,9354
6295,9510
433,9581
9650,9651
1974,9828
3461,9858
3630,9894
9919,9920
6436,9965
3444,9987
6473,9990
8574,9999
6275,10001
895,10031
3400,10048
1362,10102
2915,10108
6239,10109
4142,10123
7368,10136
8247,10206
1680,10222
4510,7528
4249,10297
2975,10351
1343,10394
1311,10487
6772,10506
10510,10511
6167,10566
2107,10570
1418,10585
6748,10624
2089,10662
139,10688
966,10735
6264,10762
8953,10807
2665,10811
1671,10872
299,10887
5493,10907
8734,11000
7333,11064
2724,11073
6882,11083
5881,11148
9795,11342
10310,11347
9618,11383
5002,11393
4456,11454
5278,11478
1159,11605
1337,11653
3999,11662
8946,11678
6164,11682
8943,11708
8837,11784
4020,11799
125,11836
396,11930
7337,11963
800,11981
7472,11998
2620,12033
6095,12205
5160,12219
6208,12245
8662,12247
4059,12255
6523,12266
10228,12329
8107,12447
5369,12495
7624,12602
7351,12603
8324,12628
7833,12682
2798,12735
3201,12765
2816,12916
10837,12958
640,13068
1733,13122
8074,13187
6949,13408
8322,13448
2732,13606
11080,13620
6830,13627
1574,13638
8742,13709
7644,13834
4491,13900
3356,13927
2917,13991
4182,14007
6170,14046
5253,14055
4868,14096
6718,14106
5473,14112
2582,14140
3214,14188
244,14204
5772,14215
8299,14249
6032,14257
7310,14323
512,14324
4875,14328
3114,14430
621,14490
9056,14492
6254,14531
1977,14555
9474,14571
12611,14575
8851,14701
2769,14749
6395,14750
3478,14890
4338,14895
4306,14908
7686,14935
6076,14994
5775,15153
8098,15207
2905,15228
4905,15262
3923,15278
13493,15284
5410,15349
3869,15374
4401,15427
1314,15429
2074,15448
5685,15550
8408,15594
766,15596
1752,15623
3831,15639
37,15671
6327,15687
449,15703
6345,15746
801,15811
4164,15873
8099,16054
9664,16222
4008,16264
3709,16358
12227,16425
7802,16521
3700,16539
7493,16567
9282,16606
2988,16636
6158,16726
5176,16759
13034,16780
7393,16868
3673,16954
1601,16975
4748,17078
6711,17082
623,17121
2886,17138
19,17214
3692,17225
5247,17345
4744,17351
4253,17362
6687,17399
839,17423
5575,17540
5687,17572
7349,17593
11379,17614
7366,17637
2976,17659
4529,17702
3122,17801
9671,17894
940,17904
3785,17944
11704,17980
8653,18074
