p25_1,p25_2
2,411
128,189
399,950
136,1225
25,106
154,276
128,1553
23,845
399,243
23,276
154,189
128,1774
23,108
23,100
14,295
23,5
128,276
399,280
154,108
2,1074
2,243
2,189
2,46
23,1371
312,584
581,845
154,665
581,470
25,933
25,441
128,104
581,1310
128,749
23,689
581,527
128,807
23,1774
2,398
154,100
128,108
581,108
47,509
154,411
128,527
2,353
581,689
14,1225
2,1371
154,749
23,495
23,353
399,845
399,689
136,32
23,749
128,175
23,1353
14,542
2,1774
2,276
25,369
312,1225
581,5
2,665
399,276
312,763
399,1074
312,32
25,112
209,654
399,749
581,950
399,398
23,81
581,159
399,665
581,175
14,763
47,295
14,32
23,46
2,470
312,509
136,295
2,495
23,1074
128,353
190,206
2,5
2,100
25,97
581,495
25,425
399,108
2,159
128,81
581,1553
23,232
581,1074
23,175
128,243
399,1310
154,232
154,104
404,654
154,175
23,665
581,189
154,81
399,175
399,232
154,243
581,280
128,495
25,283
399,46
399,1371
399,527
233,793
47,542
581,807
581,749
25,335
581,1353
2,527
2,689
136,542
581,1774
23,807
23,950
128,427
23,411
399,159
581,398
128,100
23,527
581,243
154,427
2,232
154,1371
190,793
154,1774
581,100
154,5
14,509
2,280
154,845
399,1553
47,1225
128,665
154,46
399,353
399,427
399,189
23,1310
2,807
23,470
128,411
154,470
581,104
154,159
136,509
128,5
128,1310
399,100
25,268
154,689
23,280
2,950
182,349
399,104
2,1553
581,665
399,411
399,470
581,1371
399,495
2,749
23,243
23,189
128,232
2,427
233,206
128,689
154,1310
47,32
47,584
128,46
2,81
25,1393
2,845
25,321
581,276
154,807
154,280
399,81
399,807
312,295
47,763
25,102
2,1310
154,527
128,845
25,693
154,398
25,11
128,280
581,46
14,584
23,104
23,427
25,842
581,81
136,763
154,1074
25,187
399,1353
209,349
136,584
128,159
154,1353
581,232
23,1553
2,175
128,398
399,5
25,595
128,1074
399,1774
581,411
128,950
581,353
25,141
128,1353
23,159
581,427
128,1371
2,1353
2,108
154,495
154,1553
182,654
312,542
404,349
128,470
154,353
2,104
23,398
154,950
